DocNo,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,No,TopicNo,TopicValue,Citation,Article Title,Source title,DOI,DOI Link,Source
11,0.019973513,0.019974388,0.01997404,0.019973639,0.820240617,0.019972343,0.019973645,0.019973191,0.019971058,0.019973548,12,5,0.820240617,Wang et al. (2022),Sub-Gbps key rate four-state continuous-variable quantum key distribution within metropolitan area,Communications Physics,10.1038/s42005-022-00941-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132965669&doi=10.1038%2fs42005-022-00941-z&partnerID=40&md5=f3ec9c7f1c970079c0d2726df5557d14,Scopus
12,0.021290841,0.021281434,0.808229148,0.021325007,0.021281613,0.021286286,0.021303689,0.021434087,0.021283716,0.021284191,13,3,0.808229148,Li et al. (2022),High responsivity and flexible deep-UV phototransistor based on Ta-doped Î²-Ga2O3,npj Flexible Electronics,10.1038/s41528-022-00179-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132120043&doi=10.1038%2fs41528-022-00179-3&partnerID=40&md5=be3672b07f85d788fae409df4f989eb0,Scopus
13,0.017988235,0.838123202,0.017987009,0.01797989,0.017984556,0.017983228,0.018004807,0.017982768,0.017982583,0.01798372,14,2,0.838123202,Liu et al. (2022),40-user fully connected entanglement-based quantum key distribution network without trusted node,PhotoniX,10.1186/s43074-022-00048-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130633080&doi=10.1186%2fs43074-022-00048-2&partnerID=40&md5=e4d54c92d670a7e0e7e3fa21a8813443,Scopus
14,0.020447602,0.020448795,0.020446757,0.020452807,0.020466233,0.020458329,0.02044644,0.815938234,0.020449115,0.02044569,16,8,0.815938234,Zhou et al. (2022),A new method of software vulnerability detection based on a quantum neural network,Scientific Reports,10.1038/s41598-022-11227-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130166089&doi=10.1038%2fs41598-022-11227-3&partnerID=40&md5=63f2f87ca369b8e79d0fba9864a65eca,Scopus
15,0.029840015,0.029818613,0.731570184,0.029827781,0.029825255,0.029817022,0.029822588,0.029835118,0.029821316,0.029822126,17,3,0.731570184,Krause et al. (2022),Cooperative light-induced breathing of soft porous crystals via azobenzene buckling,Nature Communications,10.1038/s41467-022-29149-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128132775&doi=10.1038%2fs41467-022-29149-z&partnerID=40&md5=470c29a5efda0cd851174919eafb3b7b,Scopus
16,0.016038764,0.016041195,0.016039073,0.0160383,0.855644345,0.016040804,0.016039262,0.016038366,0.016039217,0.016040657,18,5,0.855644345,Zhang et al. (2022),Realization of quantum secure direct communication over 100 km fiber with time-bin and phase quantum states,Light: Science and Applications,10.1038/s41377-022-00769-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127962159&doi=10.1038%2fs41377-022-00769-w&partnerID=40&md5=a7d1753b157c01d60785c52b4b9db114,Scopus
17,0.019932423,0.019955494,0.01993395,0.019930899,0.01993183,0.019930191,0.019931067,0.820587099,0.019930748,0.019936293,19,8,0.820587099,Kaneko & Danshita (2022),Tensor-network study of correlation-spreading dynamics in the two-dimensional Bose-Hubbard model,Communications Physics,10.1038/s42005-022-00848-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126770836&doi=10.1038%2fs42005-022-00848-9&partnerID=40&md5=2715574f233a9bb86ffce9a8fcc18e41,Scopus
18,0.019086404,0.01908912,0.828199685,0.019088734,0.019098675,0.019092541,0.019088449,0.019084429,0.019085327,0.019086652,20,3,0.828199685,Hou et al. (2022),"Thieno[3,4-b]pyrazine-containing D-A conjugated polymer-based photodetectors with high performance and UVâ€“visible dual-band response for color temperature sensor and encrypted optical communication",Dyes and Pigments,10.1016/j.dyepig.2022.110731,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137771414&doi=10.1016%2fj.dyepig.2022.110731&partnerID=40&md5=9bb758e5e4d70e7e7a4089df709fb3b0,Scopus
19,0.028079724,0.028073037,0.028076205,0.028084945,0.028074194,0.028073916,0.028075889,0.747315228,0.028072108,0.02807478,21,8,0.747315228,Quadri et al. (2022),Multilayer perceptron neural network-based QSAR models for the assessment and prediction of corrosion inhibition performances of ionic liquids,Computational Materials Science,10.1016/j.commatsci.2022.111753,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136537775&doi=10.1016%2fj.commatsci.2022.111753&partnerID=40&md5=359ac6abad807d28215372456213fa77,Scopus
20,0.017151231,0.017144643,0.017149499,0.017150834,0.01714557,0.01714493,0.017148001,0.017146489,0.017143793,0.845674992,22,10,0.845674992,Zhang et al. (2022),Photon-Trapping Microstructure for InGaAs/Si Avalanche Photodiodes Operating at 1.31 Î¼m,"Sensors (Basel, Switzerland)",10.3390/s22207724,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140858420&doi=10.3390%2fs22207724&partnerID=40&md5=fa47c10f371857311ff1b7782a045d4f,Scopus
21,0.01849458,0.018494027,0.01849469,0.018501097,0.833538234,0.018497391,0.018495386,0.018496472,0.018492304,0.018495828,23,5,0.833538234,Kumari et al. (2022),Signature based Merkle Hash Multiplication algorithm to secure the communication in IoT devices,Knowledge-Based Systems,10.1016/j.knosys.2022.109543,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135699107&doi=10.1016%2fj.knosys.2022.109543&partnerID=40&md5=f9749ec99ceca422b901926836756e71,Scopus
22,0.018309416,0.018309269,0.018308798,0.835207999,0.01830966,0.018315719,0.018308168,0.018309431,0.018307891,0.018313637,24,4,0.835207999,Rodrigo et al. (2022),Characterizing the spatio-temporal qubit traffic of a quantum intranet aiming at modular quantum computer architectures,"Proceedings of the 9th ACM International Conference on Nanoscale Computing and Communication, NANOCOM 2022",10.1145/3558583.3558846,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139827271&doi=10.1145%2f3558583.3558846&partnerID=40&md5=b34b0ab30165dfffc6f2728fdb2a0d12,Scopus
23,0.017891919,0.017892204,0.017891914,0.838965714,0.017891005,0.017894365,0.017892029,0.017892787,0.017896978,0.017891075,25,4,0.838965714,Hongjue & Fangfeng (2022),Locating sources of complex quantum networks,New Journal of Physics,10.1088/1367-2630/ac8db3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140886155&doi=10.1088%2f1367-2630%2fac8db3&partnerID=40&md5=6bdd508a85c100986fa0a4cc7e80e07c,Scopus
24,0.022839136,0.022841569,0.022839317,0.022840144,0.794441104,0.022840673,0.0228392,0.022840021,0.022840487,0.022838334,26,5,0.794441104,Costa et al. (2022),A System-on-a-Chip Implementation of a Post-Quantum Cryptography Scheme for Smart Meter Data Communications,Sensors,10.3390/s22197214,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139926922&doi=10.3390%2fs22197214&partnerID=40&md5=53a59ed2115a4077fd760bedd3eb5c29,Scopus
25,0.024026407,0.783761561,0.024022218,0.024020199,0.024024813,0.024026712,0.024047483,0.0240213,0.024021646,0.024027687,28,2,0.783761561,Gonzalez-Raya et al. (2022),Open-Air Microwave Entanglement Distribution for Quantum Teleportation,Physical Review Applied,10.1103/PhysRevApplied.18.044002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139836430&doi=10.1103%2fPhysRevApplied.18.044002&partnerID=40&md5=0f7f85d1c9ac528da5204c19ef7d4d8a,Scopus
26,0.024534766,0.779139996,0.024539428,0.024536101,0.024533473,0.024538133,0.02455218,0.02453302,0.024542216,0.024550689,29,2,0.779139996,Zhong et al. (2022),Quantum scissors for noiseless linear amplification of polarization frequency hyper-encoded coherent state,EPL,10.1209/0295-5075/ac9157,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139760967&doi=10.1209%2f0295-5075%2fac9157&partnerID=40&md5=9293ce87f31b7dd8f486cf38aa8b1116,Scopus
27,0.017786885,0.017785372,0.017786905,0.017786589,0.839923739,0.017785687,0.017785609,0.017786996,0.017784931,0.017787287,30,5,0.839923739,Luo et al. (2022),Intrinsically Stable 2-GHz Polarization Modulation for Satellite-Based Quantum Key Distribution,IEEE Photonics Journal,10.1109/JPHOT.2022.3209532,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139445020&doi=10.1109%2fJPHOT.2022.3209532&partnerID=40&md5=f9d680474f2df48e70ecfc7fa256238b,Scopus
28,0.027071046,0.027060779,0.027063861,0.027066398,0.027061908,0.756414235,0.027064061,0.02706489,0.027061788,0.027071049,31,6,0.756414235,Jang et al. (2022),Knowledge production patterns of China and the US: quantum technology,Scientometrics,10.1007/s11192-022-04478-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138011105&doi=10.1007%2fs11192-022-04478-4&partnerID=40&md5=b2cb62f9440daa26d50e7b447259c613,Scopus
29,0.021642534,0.021634189,0.805259407,0.021636967,0.021635793,0.021638269,0.021640772,0.021637555,0.021637857,0.021636637,32,3,0.805259407,Lv et al. (2022),Non-Hermitian Optical Tunable System Based on Lithium Niobate Coupling Resonator,IEEE Photonics Journal,10.1109/JPHOT.2022.3204366,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137906187&doi=10.1109%2fJPHOT.2022.3204366&partnerID=40&md5=2277fc460bba7c1b35bccb76818cfac5,Scopus
30,0.020793209,0.020793628,0.020793831,0.020794345,0.812848508,0.020798054,0.020793499,0.020793837,0.020796776,0.020794312,33,5,0.812848508,Kumari et al. (2022),Post-quantum cryptography techniques for secure communication in resource-constrained Internet of Things devices: A comprehensive survey,Software - Practice and Experience,10.1002/spe.3121,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133834004&doi=10.1002%2fspe.3121&partnerID=40&md5=4ff1cd9a11118d7b615743e707ff26bf,Scopus
31,0.018197127,0.018196244,0.018195849,0.018202562,0.018196078,0.018196845,0.018196614,0.836225808,0.018197441,0.018195417,34,8,0.836225808,He et al. (2022),A hybrid data-driven method for rapid prediction of lithium-ion battery capacity,Reliability Engineering and System Safety,10.1016/j.ress.2022.108674,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133727596&doi=10.1016%2fj.ress.2022.108674&partnerID=40&md5=ee9cc6a642a3cd2788b8dd3d0b025685,Scopus
32,0.016354259,0.016354453,0.016354412,0.01635441,0.852811575,0.016353965,0.01635416,0.016354145,0.016351094,0.016357552,35,5,0.852811575,Senor et al. (2022),Analysis of the NTRU Post-Quantum Cryptographic Scheme in Constrained IoT Edge Devices,IEEE Internet of Things Journal,10.1109/JIOT.2022.3162254,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127535578&doi=10.1109%2fJIOT.2022.3162254&partnerID=40&md5=b39ab6616fdcdf0ddeb327e5ac6b8b8d,Scopus
33,0.020301461,0.020299632,0.020299805,0.020300264,0.020300955,0.020303916,0.020300737,0.81729126,0.02029926,0.020302692,36,8,0.81729126,Hu et al. (2022),Neuroscience and Network Dynamics Toward Brain-Inspired Intelligence,IEEE Transactions on Cybernetics,10.1109/TCYB.2021.3071110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105095521&doi=10.1109%2fTCYB.2021.3071110&partnerID=40&md5=ac2051b03e9f3922da6d1f1c8f2b5512,Scopus
34,0.020208949,0.818121612,0.02021022,0.020206789,0.02020744,0.020209119,0.020209106,0.0202075,0.020208286,0.020210983,37,2,0.818121612,Han et al. (2022),Scheme for implementing nonlocal high-fidelity quantum controlled-not gates on quantum-dot-confined electron spins using optical microcavities and photonic hyperentanglement,Frontiers in Physics,10.3389/fphy.2022.1006255,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140094330&doi=10.3389%2ffphy.2022.1006255&partnerID=40&md5=ff3547d534de05c3b4164f4119b60236,Scopus
35,0.020430107,0.020426946,0.816143751,0.02043345,0.02042703,0.020428862,0.020427644,0.02042811,0.020426439,0.020427637,38,3,0.816143751,Zhao et al. (2022),High-Efficiency and Wavelength-Tunable Near-Infrared Emission of Lanthanide Ions Doped Lead-Free Halide Double Perovskite Nanocrystals toward Fluorescence Imaging,ACS Applied Materials and Interfaces,10.1021/acsami.2c10350,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138457528&doi=10.1021%2facsami.2c10350&partnerID=40&md5=2bd43a249a67079e49e46f8401de7b47,Scopus
36,0.020570861,0.020568592,0.020569421,0.020571565,0.020568766,0.020573426,0.020569429,0.814867258,0.020569447,0.020571226,40,8,0.814867258,Alshehri & You (2022),Deep learning to catalyze inverse molecular design,Chemical Engineering Journal,10.1016/j.cej.2022.136669,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129538154&doi=10.1016%2fj.cej.2022.136669&partnerID=40&md5=b61a9da5d1ad05c984a306e25bf25736,Scopus
37,0.020353464,0.020346537,0.020347137,0.020346804,0.020345485,0.02034547,0.020358561,0.816862226,0.020347251,0.020347083,41,8,0.816862226,Yang et al. (2022),Construction of a Deep Neural Network Energy Function for Protein Physics,Journal of Chemical Theory and Computation,10.1021/acs.jctc.2c00069,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136310152&doi=10.1021%2facs.jctc.2c00069&partnerID=40&md5=64a5c8180b2d567f930e4340cf7c9938,Scopus
38,0.019122388,0.01910763,0.019109193,0.827999592,0.019114098,0.019109959,0.019109508,0.019110344,0.019108143,0.019109171,42,4,0.827999592,Unsleber et al. (2022),Chemoton 2.0: Autonomous Exploration of Chemical Reaction Networks,Journal of Chemical Theory and Computation,10.1021/acs.jctc.2c00193,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134944086&doi=10.1021%2facs.jctc.2c00193&partnerID=40&md5=36d374198b66cfad8474d51c6ecd0470,Scopus
39,0.018080633,0.01807994,0.01809133,0.018079365,0.837275565,0.018077698,0.01807964,0.018080344,0.018076589,0.018078886,43,5,0.837275565,Zhang et al. (2022),Experimental demonstration of a local active phase compensation method for a phase encoding quantum key distribution system,Applied Optics,10.1364/AO.457735,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137715005&doi=10.1364%2fAO.457735&partnerID=40&md5=0d3d3f292863eca55b1108f8f0050976,Scopus
40,0.01982633,0.01983512,0.019828377,0.019824073,0.821548581,0.019827474,0.019828364,0.019824862,0.019827103,0.019829696,44,5,0.821548581,Ju et al. (2022),Measurement-device-independent quantum secret sharing with hyper-encoding,Chinese Physics B,10.1088/1674-1056/ac70bb,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139858522&doi=10.1088%2f1674-1056%2fac70bb&partnerID=40&md5=08e67b11c24dcfcde5474edf02126ea0,Scopus
41,0.017874103,0.017881287,0.017874179,0.017877787,0.839119136,0.017875057,0.017874511,0.017875668,0.017874354,0.017873906,45,5,0.839119136,Khatri (2022),On the design and analysis of near-term quantum network protocols using Markov decision processes,AVS Quantum Science,10.1116/5.0084653,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139545941&doi=10.1116%2f5.0084653&partnerID=40&md5=a9cc5af424af54d029700cc7e90a81c2,Scopus
42,0.021579884,0.80577451,0.021581512,0.021579275,0.021580052,0.021581031,0.021580713,0.021580156,0.021581015,0.021581834,46,2,0.80577451,Bin et al. (2022),Efficient scheme for preparing hybrid GHZ entangled states with multiple types of photonic qubits in circuit QED,European Physical Journal Plus,10.1140/epjp/s13360-022-03251-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139214126&doi=10.1140%2fepjp%2fs13360-022-03251-z&partnerID=40&md5=ca34df035d180273a13bf9bba3ab4c9c,Scopus
43,0.022712296,0.022710698,0.02271397,0.795578599,0.022711726,0.02271267,0.022717349,0.022715369,0.022711508,0.022715807,47,4,0.795578599,Lin et al. (2022),Domain-Specific Quantum Architecture Optimization,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,10.1109/JETCAS.2022.3202870,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137916870&doi=10.1109%2fJETCAS.2022.3202870&partnerID=40&md5=35902c897b1d7e5d8ca5caa73f8aa0cb,Scopus
44,0.01791881,0.017931132,0.838636518,0.017960643,0.017931629,0.017931264,0.017924193,0.017925816,0.017918948,0.017921044,48,3,0.838636518,Wu et al. (2022),Generation and Superposition of Perfect Vortex Beams in Terahertz Region via Single-Layer All-Dielectric Metasurface,Nanomaterials,10.3390/nano12173010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137784082&doi=10.3390%2fnano12173010&partnerID=40&md5=ba75d540f27cb7db4448a57d933a2bcf,Scopus
45,0.022295929,0.022296228,0.022295916,0.022299089,0.022295892,0.022298325,0.022297312,0.799331129,0.022293424,0.022296758,52,8,0.799331129,Tian et al. (2022),Quantum cascade laser imaging (LDIR) and machine learning for the identification of environmentally exposed microplastics and polymers,Environmental Research,10.1016/j.envres.2022.113569,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131368729&doi=10.1016%2fj.envres.2022.113569&partnerID=40&md5=66836eaf3fee942628baa5528267d28e,Scopus
46,0.017741958,0.017740022,0.017740922,0.017744359,0.01774215,0.840325534,0.017740184,0.017744547,0.017739935,0.017740376,53,6,0.840325534,Salvakkam & Pamula (2022),MESSBâ€“LWE: multi-extractable somewhere statistically binding and learning with error-based integrity and authentication for cloud storage,Journal of Supercomputing,10.1007/s11227-022-04497-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129352615&doi=10.1007%2fs11227-022-04497-1&partnerID=40&md5=97e226d8aabf0f7b5e2844205a812b9d,Scopus
47,0.01924783,0.019243674,0.019246049,0.826778054,0.019246856,0.019249432,0.019244337,0.019251894,0.019245591,0.019246262,54,4,0.826778054,Cooper (2022),Exploring Potential Applications of Quantum Computing in Transportation Modelling,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2021.3132161,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121838743&doi=10.1109%2fTITS.2021.3132161&partnerID=40&md5=5b2794f0f060a22b537e38d63e6fdc8d,Scopus
48,0.019418409,0.019420831,0.019416275,0.019419579,0.019421928,0.825234234,0.019416183,0.019419022,0.019417977,0.019415587,55,6,0.825234234,Chowdhury et al. (2022),"Physical security in the post-quantum era: A survey on side-channel analysis, random number generators, and physically unclonable functions",Journal of Cryptographic Engineering,10.1007/s13389-021-00255-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100110511&doi=10.1007%2fs13389-021-00255-w&partnerID=40&md5=b9589e26a7288eed5ca294b81b7358fc,Scopus
49,0.022769025,0.02276828,0.022768041,0.022769669,0.022769203,0.795075655,0.022771414,0.022772511,0.022766611,0.022769598,56,6,0.795075655,BarakoviÄ‡ & HusiÄ‡ (2022),Cyber security perspective of top future technologies,Building Cyber Resilience against Hybrid Threats,10.3233/NICSP220020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140819233&doi=10.3233%2fNICSP220020&partnerID=40&md5=d9cf0a92212c038edcc2bb5e130fa670,Scopus
50,0.020415826,0.020414565,0.020417973,0.020414514,0.020412669,0.020413229,0.020416442,0.0204145,0.020413706,0.816266596,57,10,0.816266596,Wang et al. (2022),Silicon nitride stress-optic microresonator modulator for optical control applications,Optics Express,10.1364/OE.467721,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136203100&doi=10.1364%2fOE.467721&partnerID=40&md5=1b0fbb4b2acd8a51926ac6e626e7c03d,Scopus
51,0.019211689,0.827090681,0.019214289,0.019210668,0.019211557,0.019212842,0.019211845,0.019211613,0.019211816,0.019212998,58,2,0.827090681,Thomas et al. (2022),Efficient generation of entangled multiphoton graph states from a single atom,Nature,10.1038/s41586-022-04987-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136477622&doi=10.1038%2fs41586-022-04987-5&partnerID=40&md5=31f86b9e7feed6160ff8d3aac4d6b618,Scopus
52,0.824443221,0.019532962,0.019499961,0.01950907,0.019502165,0.01950171,0.019500328,0.019503376,0.019506924,0.019500265,59,1,0.824443221,Chen et al. (2022),Continuous ferromagnetic quantum phase transition on an anisotropic Kondo lattice,Physical Review B,10.1103/PhysRevB.106.075114,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136160471&doi=10.1103%2fPhysRevB.106.075114&partnerID=40&md5=9d4bfcdb03090e63cd0805df44232c45,Scopus
53,0.018636497,0.018635005,0.832265079,0.018643925,0.018636653,0.01863477,0.018637113,0.018639239,0.01863396,0.018637769,60,3,0.832265079,Fassi et al. (2022),Optical investigations of Cu2CdSnS4 quaternary alloy nanostructure for indoor optical wireless communications,Optics Communications,10.1016/j.optcom.2022.128351,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130105680&doi=10.1016%2fj.optcom.2022.128351&partnerID=40&md5=c80fdbe639f1d34bcc06e1182b440090,Scopus
54,0.020221328,0.020223213,0.817984283,0.020222392,0.02023459,0.020224035,0.020222168,0.020222025,0.020219499,0.020226449,61,3,0.817984283,Khan (2022),Quantum-Dash Laser-Based Tunable 50/75 GHz mmW Transport System for Future L-Band Networks,IEEE Photonics Technology Letters,10.1109/LPT.2022.3157865,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126307218&doi=10.1109%2fLPT.2022.3157865&partnerID=40&md5=adfd4015f102b2445129dce1bf13d215,Scopus
55,0.023543578,0.788097799,0.023544341,0.023535218,0.023534622,0.023538837,0.023578038,0.023537351,0.023544002,0.0235462,62,2,0.788097799,Feist et al. (2022),Cavity-mediated electron-photon pairs,Science,10.1126/science.abo5037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136341468&doi=10.1126%2fscience.abo5037&partnerID=40&md5=69b21c272cf90005ce14b2c115f1467d,Scopus
56,0.016824331,0.016821548,0.016822645,0.016821459,0.0168272,0.016822092,0.016822299,0.848593712,0.01682044,0.016824281,63,8,0.848593712,Zhang et al. (2022),Unravelling stereoisomerism in acid catalysed lignin conversion: an integration of experimental trends and theoretical evaluations,Green Chemistry,10.1039/d2gc01740g,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140307058&doi=10.1039%2fd2gc01740g&partnerID=40&md5=e9b5e398b88a4347b4277ad183e9d1d7,Scopus
57,0.021454541,0.021456385,0.806882739,0.021452803,0.021480072,0.021456903,0.021457121,0.02145219,0.021451246,0.021456005,65,3,0.806882739,Huang et al. (2022),Toward high-bandwidth yellow-green micro-LEDs utilizing nanoporous distributed Bragg reflectors for visible light communication,Photonics Research,10.1364/PRJ.462519,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138327047&doi=10.1364%2fPRJ.462519&partnerID=40&md5=af4f31a7a924d225b609914c71d31a3f,Scopus
58,0.020383252,0.020382864,0.020381104,0.020379271,0.816563129,0.020382404,0.020379947,0.020380925,0.02038528,0.020381851,66,5,0.816563129,Chen et al. (2022),Experimental study of secure quantum key distribution with source and detection imperfections,Physical Review A,10.1103/PhysRevA.106.022614,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137267733&doi=10.1103%2fPhysRevA.106.022614&partnerID=40&md5=ad652adc70d7ff0927cb6e365391c85f,Scopus
