No,Source,Citation,Publcation Year,Article Title,Source title,Abstract,Keywords,DOI,DOI Link,Document Type
11,Scopus,He et al. (2022),2022,Towards higher-dimensional structured light,Light: Science and Applications,"Structured light refers to the arbitrarily tailoring of optical fields in all their degrees of freedom (DoFs), from spatial to temporal. Although orbital angular momentum (OAM) is perhaps the most topical example, and celebrating 30 years since its connection to the spatial structure of light, control over other DoFs is slowly gaining traction, promising access to higher-dimensional forms of structured light. Nevertheless, harnessing these new DoFs in quantum and classical states remains challenging, with the toolkit still in its infancy. In this perspective, we discuss methods, challenges, and opportunities for the creation, detection, and control of multiple DoFs for higher-dimensional structured light. We present a roadmap for future development trends, from fundamental research to applications, concentrating on the potential for larger-capacity, higher-security information processing and communication, and beyond. © 2022, The Author(s).",,10.1038/s41377-022-00897-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133472287&doi=10.1038%2fs41377-022-00897-3&partnerID=40&md5=bb3cbe214dd8ae83e8ba7a21df9350f9,Article
12,Scopus,Wang et al. (2022),2022,Sub-Gbps key rate four-state continuous-variable quantum key distribution within metropolitan area,Communications Physics,"Continuous-variable quantum key distribution (CVQKD) has potential advantages of high secret key rate, which is very suitable for high-speed metropolitan network application. However, the secret key rates of the reported CVQKD systems are only a few Mbps over typical transmission distance so far. Here, we address the fundamental experimental problems and demonstrate a single-carrier four-state CVQKD with sub-Gbps key rate within metropolitan area. In the demonstrated four-state CVQKD using local local oscillator, an ultra-low level of excess noise is obtained and a high efficient post-processing setup is designed for practically extracting the final secure keys. Thus, the achieved secret key rates are 190.54 Mbps, 137.76 Mbps and 52.48 Mbps using linear channel assuming security analysis method and 233.87 Mbps, 133.6 Mbps and 21.53 Mbps using semidefinite programming security analysis method over transmission distances of 5 km, 10 km and 25 km, respectively. This result increases the asymptotic secret key rate to sub-Gbps level, which is sufficient to achieve the one-time pad cryptographic task. Moreover, our work shows the road for future high-rate and large-scale CVQKD deployment in secure broadband metropolitan and access networks. © 2022, The Author(s).",,10.1038/s42005-022-00941-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132965669&doi=10.1038%2fs42005-022-00941-z&partnerID=40&md5=f3ec9c7f1c970079c0d2726df5557d14,Article
13,Scopus,Li et al. (2022),2022,High responsivity and flexible deep-UV phototransistor based on Ta-doped β-Ga2O3,npj Flexible Electronics,"Deep-ultraviolet (DUV) phototransistors have shown great potential applications in UV imaging, artificial intelligence, and wearable optoelectronics. Among a large number of wide bandgap semiconductors, the quasi-two-dimensional β-Ga2O3 is considered as an ideal candidate for DUV photodetector applications. Herein, we report a high responsivity (R) and fully flexible Ta-doped β-Ga2O3 DUV phototransistor which exhibits outstanding optoelectrical properties with a high R of 1.32 × 106 A/W, a large detectivity of 5.68 × 1014 Jones, a great photo-to-dark current ratio of 1.10 × 1010%, a high external quantum efficiency of 6.60 × 108%, and an ultra-fast response time of ~3.50 ms. Besides, the flexible Ta-doped β-Ga2O3 device also displays high reliability and mechanical flexibility that can sustain well after over 1 × 104 bending cycles. Moreover, high-contrast imaging of UV light was obtained on the flexible DUV detector arrays, which can be efficiently trained and recognized by an artificial neural network. Our findings offer a perspective to develop wearable optoelectronics and UV imaging based on high-performance flexible β-Ga2O3 DUV phototransistors, providing an inspiration for the future work in artificial intelligence and bionic robot fields. © 2022, The Author(s).",,10.1038/s41528-022-00179-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132120043&doi=10.1038%2fs41528-022-00179-3&partnerID=40&md5=be3672b07f85d788fae409df4f989eb0,Article
14,Scopus,Liu et al. (2022),2022,40-user fully connected entanglement-based quantum key distribution network without trusted node,PhotoniX,"Quantum key distribution (QKD) would play an important role in future information technologies due to its theoretically proven security based on the laws of quantum mechanics. How to realize QKDs among multiple users in an effective and simple way is crucial for its real applications in communication networks. In this work, we propose and demonstrate a fully connected QKD network without trusted node for a large number of users. Using flexible wavelength division multiplexing/demultiplexing and space division multiplexing, entanglement resources generated by a broadband energy-time entangled quantum light source are distributed to 40 users. Any two users share a part of entanglement resources, by which QKD is established between them. As a result, it realizes a fully connected network with 40 users and 780 QKD links. The performance of this network architecture is also discussed theoretically, showing its potential on developing quantum communication networks with large user numbers owing to its simplicity, scalability, and high efficiency. © 2022, The Author(s).",,10.1186/s43074-022-00048-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130633080&doi=10.1186%2fs43074-022-00048-2&partnerID=40&md5=e4d54c92d670a7e0e7e3fa21a8813443,Article
15,Scopus,Mansha et al. (2022),2022,High resolution multispectral spatial light modulators based on tunable Fabry-Perot nanocavities,Light: Science and Applications,"Spatial light modulators (SLMs) are the most relevant technology for dynamic wavefront manipulation. They find diverse applications ranging from novel displays to optical and quantum communications. Among commercial SLMs for phase modulation, Liquid Crystal on Silicon (LCoS) offers the smallest pixel size and, thus, the most precise phase mapping and largest field of view (FOV). Further pixel miniaturization, however, is not possible in these devices due to inter-pixel cross-talks, which follow from the high driving voltages needed to modulate the thick liquid crystal (LC) cells that are necessary for full phase control. Newly introduced metasurface-based SLMs provide means for pixel miniaturization by modulating the phase via resonance tuning. These devices, however, are intrinsically monochromatic, limiting their use in applications requiring multi-wavelength operation. Here, we introduce a novel design allowing small pixel and multi-spectral operation. Based on LC-tunable Fabry-Perot nanocavities engineered to support multiple resonances across the visible range (including red, green and blue wavelengths), our design provides continuous 2π phase modulation with high reflectance at each of the operating wavelengths. Experimentally, we realize a device with 96 pixels (~1 μm pitch) that can be individually addressed by electrical biases. Using it, we first demonstrate multi-spectral programmable beam steering with FOV~18° and absolute efficiencies exceeding 40%. Then, we reprogram the device to achieve multi-spectral lensing with tunable focal distance and efficiencies ~27%. Our design paves the way towards a new class of SLM for future applications in displays, optical computing and beyond. © 2022, The Author(s).",,10.1038/s41377-022-00832-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130492808&doi=10.1038%2fs41377-022-00832-6&partnerID=40&md5=e963d83f9dc6d3021521109af23e890e,Article
16,Scopus,Zhou et al. (2022),2022,A new method of software vulnerability detection based on a quantum neural network,Scientific Reports,"In the field of network security, although there has been related work on software vulnerability detection based on classic machine learning, detection ability is directly proportional to the scale of training data. A quantum neural network has been proven to solve the memory bottleneck problem of classical machine learning, so it has far-reaching prospects in the field of vulnerability detection. To fill the gap in this field, we propose a quantum neural network structure named QDENN for software vulnerability detection. This work is the first attempt to implement word embedding of vulnerability codes based on a quantum neural network, which proves the feasibility of a quantum neural network in the field of vulnerability detection. Experiments demonstrate that our proposed QDENN can effectively solve the inconsistent input length problem of quantum neural networks and the problem of batch processing with long sentences. Furthermore, it can give full play to the advantages of quantum computing and realize a vulnerability detection model at the cost of a small amount of measurement. Compared to other quantum neural networks, our proposed QDENN can achieve higher vulnerability detection accuracy. On the sub dataset with a small-scale interval, the model accuracy rate reaches 99%. On each subinterval data, the best average vulnerability detection accuracy of the model reaches 86.3%. © 2022, The Author(s).",,10.1038/s41598-022-11227-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130166089&doi=10.1038%2fs41598-022-11227-3&partnerID=40&md5=63f2f87ca369b8e79d0fba9864a65eca,Article
17,Scopus,Krause et al. (2022),2022,Cooperative light-induced breathing of soft porous crystals via azobenzene buckling,Nature Communications,"Although light is a prominent stimulus for smart materials, the application of photoswitches as light-responsive triggers for phase transitions of porous materials remains poorly explored. Here we incorporate an azobenzene photoswitch in the backbone of a metal-organic framework producing light-induced structural contraction of the porous network in parallel to gas adsorption. Light-stimulation enables non-invasive spatiotemporal control over the mechanical properties of the framework, which ultimately leads to pore contraction and subsequent guest release via negative gas adsorption. The complex mechanism of light-gated breathing is established by a series of in situ diffraction and spectroscopic experiments, supported by quantum mechanical and molecular dynamic simulations. Unexpectedly, this study identifies a novel light-induced deformation mechanism of constrained azobenzene photoswitches relevant to the future design of light-responsive materials. © 2022, The Author(s).",,10.1038/s41467-022-29149-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128132775&doi=10.1038%2fs41467-022-29149-z&partnerID=40&md5=470c29a5efda0cd851174919eafb3b7b,Article
18,Scopus,Zhang et al. (2022),2022,Realization of quantum secure direct communication over 100 km fiber with time-bin and phase quantum states,Light: Science and Applications,"Rapid progress has been made in quantum secure direct communication in recent years. For practical application, it is important to improve the performances, such as the secure information rate and the communication distance. In this paper, we report an elaborate physical system design and protocol with much enhanced performance. This design increased the secrecy capacity greatly by achieving an ultra-low quantum bit error rate of <0.1%, one order of magnitude smaller than that of existing systems. Compared to previous systems, the proposed scheme uses photonic time-bin and phase states, operating at 50 MHz of repetition rate, which can be easily upgraded to over 1 GHz using current on-the-shelf technology. The results of our experimentation demonstrate that the proposed system can tolerate more channel loss, from 5.1 dB, which is about 28.3 km in fiber in the previous scheme, to 18.4 dB, which corresponds to fiber length of 102.2 km. Thus, the experiment shows that intercity quantum secure direct communication through fiber is feasible with present-day technology. © 2022, The Author(s).",,10.1038/s41377-022-00769-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127962159&doi=10.1038%2fs41377-022-00769-w&partnerID=40&md5=a7d1753b157c01d60785c52b4b9db114,Article
19,Scopus,Kaneko & Danshita (2022),2022,Tensor-network study of correlation-spreading dynamics in the two-dimensional Bose-Hubbard model,Communications Physics,"Recent developments in analog quantum simulators based on cold atoms and trapped ions call for cross-validating the accuracy of quantum-simulation experiments with use of quantitative numerical methods; however, it is particularly challenging for dynamics of systems with more than one spatial dimension. Here we demonstrate that a tensor-network method running on classical computers is useful for this purpose. We specifically analyze real-time dynamics of the two-dimensional Bose-Hubbard model after a sudden quench starting from the Mott insulator by means of the tensor-network method based on infinite projected entangled pair states. Calculated single-particle correlation functions are found to be in good agreement with a recent experiment. By estimating the phase and group velocities from the single-particle and density-density correlation functions, we predict how these velocities vary in the moderate interaction region, which serves as a quantitative benchmark for future experiments and numerical simulations. © 2022, The Author(s).",,10.1038/s42005-022-00848-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126770836&doi=10.1038%2fs42005-022-00848-9&partnerID=40&md5=2715574f233a9bb86ffce9a8fcc18e41,Article
20,Scopus,Hou et al. (2022),2022,"Thieno[3,4-b]pyrazine-containing D-A conjugated polymer-based photodetectors with high performance and UV–visible dual-band response for color temperature sensor and encrypted optical communication",Dyes and Pigments,"Three thieno[3,4-b]pyrazine (TP)-containing D-A type conjugated polymers are successfully used to develop multifunctional high-performance organic photodetectors (OPDs). The TP acceptor units are respectively coupled with three different donor units to effectively regulate their molecular energy levels and carrier mobilities. The resultant polymers exhibit dual-band absorbance in the UV–visible region, intramolecular charge transfer (ICT) effect and efficient ambipolar transport characteristics. They are evaluated as the single photosensitive layers in OPDs for the first time. The optimal device based on TP-Si presents a peak external quantum efficiency (EQE) over 40% and a high specific detectivity (D∗) of 3.35×1012 Jones with fast temporal response under 560 nm at −1.5 V, which are superior to the most of reported single-active-layer OPDs. The high performance could be ascribed to the well-balanced photogenerated carriers and the efficient charge separation and transport in the device. Noteworthy, this dual-band response device can be used as a novel color temperature (CT) sensor for complementary white light illumination, and an encrypted UV–visible light communication scheme has been successfully demonstrated. The results show that these ambipolar D-A polymers have a broad application prospect in secure optical communication in the future. © 2022 Elsevier Ltd",,10.1016/j.dyepig.2022.110731,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137771414&doi=10.1016%2fj.dyepig.2022.110731&partnerID=40&md5=9bb758e5e4d70e7e7a4089df709fb3b0,Article
21,Scopus,Quadri et al. (2022),2022,Multilayer perceptron neural network-based QSAR models for the assessment and prediction of corrosion inhibition performances of ionic liquids,Computational Materials Science,"The present study reports the quantum chemical studies and quantitative structure activity relationship (QSAR) modeling of thirty ionic liquids utilized as chemical additives to repress mild steel degradation in 1.0 M HCl. Five molecular descriptors obtained from standardization of calculated descriptors together with the inhibitor concentration were employed in model building. Multiple linear regression (MLR) and multilayer perceptron neural network (MLPNN) modeling were utilized in model construction. The optimal MLPNN model was developed using a network architecture of 6-3-5-1 with Levenberg-Marquardt as the learning algorithm. The model yielded an MSE of 29.9242, RMSE of 5.4703, MAD of 4.9628, MAPE of 5.7809, rMBE of 0.1202 and CoV of 0.0052. The MLPNN model displayed better predictive performance than the MLR model. Furthermore, developed models were applied to forecast the inhibition efficiencies of five novel ionic liquids. The theoretical inhibitors were found to be effective inhibitors of steel corrosion, showing over 80% inhibition efficiency. © 2022 Elsevier B.V.",,10.1016/j.commatsci.2022.111753,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136537775&doi=10.1016%2fj.commatsci.2022.111753&partnerID=40&md5=359ac6abad807d28215372456213fa77,Article
22,Scopus,Zhang et al. (2022),2022,Photon-Trapping Microstructure for InGaAs/Si Avalanche Photodiodes Operating at 1.31 μm,"Sensors (Basel, Switzerland)","With the rapid development of photo-communication technologies, avalanche photodiode (APD) will play an increasingly important role in the future due to its high quantum efficiency, low power consumption, and small size. The monolithic integration of optical components and signal processing electronics on silicon substrate chips is crucial to driving cost reduction and performance improvement; thus, the technical research on InGaAs/Si APD is of great significance. This work is the first to demonstrate the use of a photon-trapping (PT) structure to improve the performance of the InGaAs/Si APD based on an SOI substrate, which exhibits very high absorption efficiency at 1310 nm wavelength while the thickness of the absorption layer is kept at 800 nm. Based on the optical and electrical simulations, an optimized InGaAs/Si PT-APD is proposed, which exhibits a better performance and a higher responsivity compared to the original InGaAs/Si APD.",,10.3390/s22207724,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140858420&doi=10.3390%2fs22207724&partnerID=40&md5=fa47c10f371857311ff1b7782a045d4f,Article
