NoDTest,achiev,addit,algorithm,ani,appli,applic,arbitrari,assumpt,attack,base,basi,bound,build,channel,classic,commit,communic,comput,continu,cryptograph,demonstr,design,devic,distribut,due,effici,enabl,error,exist,experiment,finit,follow,framework,fulli,function,furthermor,general,generat,hard,hash,high,implement,includ,independ,inform,input,integr,introduc,key,km,limit,loss,low,mani,measur,method,model,onli,optic,pair,perform,phase,photon,possibl,post,practic,prepar,process,proof,propos,protocol,prove,provid,qkd,random,rate,receiv,requir,result,scale,scheme,secret,secur,set,show,singl,size,sourc,standard,state,system,techniqu,time,verif,verifi,version,weak,work,polynomi,construct,complex,develop,challeng,compar,cryptographi,field,entangl,transmiss,Words,DocWords
13,0,0.0842722,0,0.0911223,0,0,0,0,0,0,0.277683,0.138841,0,0.253411,0,0,0,0,0,0,0,0,0,0.0961896,0,0,0,0,0,0,0,0,0,0.394503,0,0,0,0,0,0,0.182245,0.213841,0,0,0,0,0,0,0.201078,0,0,0,0,0,0,0,0,0,0,0,0.232386,0.0911223,0,0,0.320761,0,0.277683,0.380117,0,0.213841,0.0961896,0,0.0911223,0.170554,0,0.170554,0,0,0,0,0,0,0.0365532,0,0.0402156,0,0,0.138841,0,0.0961896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fulli(0.395), process(0.380), post(0.321)","13: fulli(0.395), process(0.380), post(0.321)"
14,0,0,0,0.0799361,0,0,0,0.0865184,0,0.0632859,0,0,0,0,0.0632809,0.121797,0,0,0,0,0.0949214,0,0,0.0210953,0,0.0432592,0,0,0.722482,0,0,0.0555755,0,0,0.279776,0,0,0,0.121797,0.111151,0.039968,0,0,0,0,0.333453,0,0.0432592,0,0,0,0,0,0.0555755,0,0,0,0.119904,0,0,0,0.159872,0,0,0,0,0,0,0.0341995,0,0.0421906,0,0,0,0,0,0,0.0369634,0.0341995,0,0,0,0,0,0.0176393,0,0,0,0,0,0,0,0.0270295,0,0.328282,0.111151,0,0,0.0608985,0.182696,0,0,0,0,0,0,0,0,"exist(0.722), input(0.333), verifi(0.328)","14: exist(0.722), input(0.333), verifi(0.328)"
15,0,0,0.123445,0.0810175,0,0.0876889,0,0,0,0.128284,0,0.617224,0.103308,0,0.256548,0,0,0.0876889,0,0,0.0641371,0,0,0,0,0,0,0.175378,0.112655,0,0,0.112655,0.103308,0.0876889,0.162035,0,0.0810175,0,0.123445,0,0,0,0,0,0.0810175,0,0,0,0,0,0,0,0,0,0.0693244,0,0,0.32407,0,0,0.103308,0,0,0.123445,0.190128,0,0,0,0.0693244,0.0950638,0.256569,0.22531,0,0,0.0749271,0,0,0,0,0,0,0,0,0,0.143024,0,0,0,0,0,0,0,0.0547903,0,0.0950638,0,0,0,0.123445,0,0,0,0,0,0,0,0,0,"bound(0.617), onli(0.324), protocol(0.257)","15: bound(0.617), onli(0.324), protocol(0.257)"
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264166,0,0,0,0,0,0,0.0751979,0,0.0812797,0.150408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0751979,0,0,0,0.334374,0,0.121124,0,0,0,0.102811,0.125767,0,0.334374,0.434201,0,0,0.243839,0,0,0,0,0.264166,0,0.284968,0,0,0.222916,0,0,0,0,0,0,0,0,0.355584,0,0.177792,0,0.0878487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"loss(0.434), qkd(0.356), implement(0.334)","16: loss(0.434), qkd(0.356), implement(0.334)"
17,0,0,0,0,0.118726,0.100776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0982865,0,0,0,0.201552,0,0,0,0,0,0,0,0,0,0,0,0,0.186218,0,0,0,0,0,0.776807,0,0.123277,0.129468,0.109251,0,0.258936,0,0,0,0,0,0,0,0.237452,0,0.258328,0,0,0,0,0,0,0,0,0,0,0.116181,0,0.174272,0,0,0.0796705,0,0,0,0.0373501,0,0.0410923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"integr(0.777), low(0.259), photon(0.258)","17: integr(0.777), low(0.259), photon(0.258)"
18,0,0,0,0,0.109937,0,0,0,0,0.0455051,0,0.525461,0,0,0.204756,0,0,0.466576,0,0,0,0.131365,0,0,0,0,0,0.0933151,0.119883,0,0,0,0,0,0.344863,0,0.172431,0,0.131365,0,0,0,0,0,0.0862157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202326,0,0,0,0,0,0.0455051,0,0,0,0,0,0,0,0.147545,0,0,0,0.20751,0.295089,0.0761002,0,0,0,0,0,0,0.0933151,0.0583057,0,0,0,0,0.0797344,0,0.131365,0,0,0,0,0,0,0,0,"bound(0.525), comput(0.467), function(0.345)","18: bound(0.525), comput(0.467), function(0.345)"
19,0,0,0,0,0.113602,0,0,0,0.340807,0.0940449,0,0,0,0,0.141056,0,0,0,0,0,0,0,0.0762323,0,0,0,0,0.0964268,0,0,0,0,0,0,0,0,0.0890906,0,0,0,0,0,0,0.113602,0.267272,0,0,0,0,0,0,0.678728,0,0,0,0,0,0,0,0,0,0,0.0823932,0,0,0,0,0,0,0,0.282135,0,0,0.0555836,0,0.0555836,0,0,0,0,0,0,0.0714764,0,0.117957,0.0964268,0,0,0,0.0470225,0,0.0964268,0.06025,0.371641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"loss(0.679), verif(0.372), attack(0.341)","19: loss(0.679), verif(0.372), attack(0.341)"
20,0,0.0570483,0,0.0616855,0.0786572,0,0.093989,0.200295,0.0786572,0.0325579,0,0,0.0786572,0,0,0,0,0.066765,0,0.257321,0,0,0,0,0,0.066765,0,0,0,0,0,0.0857737,0,0.200295,0.0616855,0,0.123371,0.048833,0,0.171547,0,0,0,0,0,0.0857737,0,0.066765,0,0,0,0,0,0.0857737,0.0527825,0,0.751912,0.123371,0,0.0857737,0,0,0,0.093989,0,0,0,0,0.105565,0,0.130232,0.0857737,0,0,0.171145,0,0,0,0.158347,0,0.066765,0,0.0494896,0.0527825,0.0816721,0,0,0,0,0.0976737,0,0,0.0417165,0,0,0.0857737,0.0857737,0,0,0,0,0,0,0,0,0,0,0,"model(0.752), cryptograph(0.257), assumpt(0.200)","20: model(0.752), cryptograph(0.257), assumpt(0.200)"
21,0.0792374,0,0.111547,0.073209,0,0,0.111547,0,0,0,0.111547,0,0.0933513,0,0.231822,0.223094,0,0.0792374,0,0,0,0,0,0,0,0,0,0.0792374,0,0,0,0.101797,0,0.237712,0.219627,0,0,0,0.111547,0.101797,0,0.0859015,0,0,0,0.101797,0,0.0792374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171803,0,0,0,0,0,0,0,0,0,0,0,0.0859015,0,0,0,0.554662,0,0.0293674,0,0.0323098,0,0.0859015,0,0.0859015,0.0386401,0,0.0792374,0.0495096,0.101797,0.257704,0,0,0.0677055,0.111547,0.446189,0,0,0,0,0,0,0,0,"scheme(0.555), construct(0.446), verifi(0.258)","21: scheme(0.555), construct(0.446), verifi(0.258)"
22,0,0.0618164,0,0,0,0,0,0.0723452,0,0,0,0,0,0,0.0529144,0,0,0.434071,0,0,0,0,0.28597,0,0.0929426,0,0,0,0,0,0,0,0,0,0,0.101845,0,0,0,0,0,0,0,0,0,0.0929426,0,0,0,0,0,0,0,0.0929426,0.114388,0,0.407378,0.133682,0,0.0929426,0,0.0668412,0,0,0,0,0,0.0929426,0.228776,0.0784296,0,0,0.200523,0,0,0,0.0784296,0,0.057194,0.0852314,0,0,0,0.057194,0.117998,0.289381,0.313718,0,0,0,0.171582,0.0723452,0.0452032,0.278828,0.0784296,0.0929426,0.0929426,0,0.101845,0,0,0,0,0,0,0,0,0,"comput(0.434), model(0.407), size(0.314)","22: comput(0.434), model(0.407), size(0.314)"
23,0,0,0,0,0,0,0,0.300248,0,0.0732078,0,0,0.176864,0,0,0.105669,0,0,0,0.289299,0.164705,0,0,0,0,0,0.105669,0,0.0964329,0,0,0,0.0884321,0.150124,0.485459,0,0.0693513,0,0,0.385732,0,0,0.105669,0,0,0,0,0.075062,0.0306072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964329,0,0,0,0,0,0.0641378,0,0,0.150124,0,0,0,0.0306072,0,0,0,0.0813749,0,0,0,0.0469007,0,0.488249,0,0.0964329,0,0,0,0,0,0,0,0,0,0,0,"verifi(0.488), function(0.485), hash(0.386)","23: verifi(0.488), function(0.485), hash(0.386)"
24,0,0.0570483,0,0.0616855,0.0786572,0,0.093989,0.200295,0.0786572,0.0325579,0,0,0.0786572,0,0,0,0,0.066765,0,0.257321,0,0,0,0,0,0.066765,0,0,0,0,0,0.0857737,0,0.200295,0.0616855,0,0.123371,0.048833,0,0.171547,0,0,0,0,0,0.0857737,0,0.066765,0,0,0,0,0,0.0857737,0.0527825,0,0.751912,0.123371,0,0.0857737,0,0,0,0.093989,0,0,0,0,0.105565,0,0.130232,0.0857737,0,0,0.171145,0,0,0,0.158347,0,0.066765,0,0.0494896,0.0527825,0.0816721,0,0,0,0,0.0976737,0,0,0.0417165,0,0,0.0857737,0.0857737,0,0,0,0,0,0,0,0,0,0,0,"model(0.752), cryptograph(0.257), assumpt(0.200)","24: model(0.752), cryptograph(0.257), assumpt(0.200)"
25,0.0792374,0,0.111547,0.073209,0,0,0.111547,0,0,0,0.111547,0,0.0933513,0,0.231822,0.223094,0,0.0792374,0,0,0,0,0,0,0,0,0,0.0792374,0,0,0,0.101797,0,0.237712,0.219627,0,0,0,0.111547,0.101797,0,0.0859015,0,0,0,0.101797,0,0.0792374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171803,0,0,0,0,0,0,0,0,0,0,0,0.0859015,0,0,0,0.554662,0,0.0293674,0,0.0323098,0,0.0859015,0,0.0859015,0.0386401,0,0.0792374,0.0495096,0.101797,0.257704,0,0,0.0677055,0.111547,0.446189,0,0,0,0,0,0,0,0,"scheme(0.555), construct(0.446), verifi(0.258)","25: scheme(0.555), construct(0.446), verifi(0.258)"
26,0,0.0618164,0,0,0,0,0,0.0723452,0,0,0,0,0,0,0.0529144,0,0,0.434071,0,0,0,0,0.28597,0,0.0929426,0,0,0,0,0,0,0,0,0,0,0.101845,0,0,0,0,0,0,0,0,0,0.0929426,0,0,0,0,0,0,0,0.0929426,0.114388,0,0.407378,0.133682,0,0.0929426,0,0.0668412,0,0,0,0,0,0.0929426,0.228776,0.0784296,0,0,0.200523,0,0,0,0.0784296,0,0.057194,0.0852314,0,0,0,0.057194,0.117998,0.289381,0.313718,0,0,0,0.171582,0.0723452,0.0452032,0.278828,0.0784296,0.0929426,0.0929426,0,0.101845,0,0,0,0,0,0,0,0,0,"comput(0.434), model(0.407), size(0.314)","26: comput(0.434), model(0.407), size(0.314)"
27,0,0,0,0,0,0,0,0.300248,0,0.0732078,0,0,0.176864,0,0,0.105669,0,0,0,0.289299,0.164705,0,0,0,0,0,0.105669,0,0.0964329,0,0,0,0.0884321,0.150124,0.485459,0,0.0693513,0,0,0.385732,0,0,0.105669,0,0,0,0,0.075062,0.0306072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964329,0,0,0,0,0,0.0641378,0,0,0.150124,0,0,0,0.0306072,0,0,0,0.0813749,0,0,0,0.0469007,0,0.488249,0,0.0964329,0,0,0,0,0,0,0,0,0,0,0,"verifi(0.488), function(0.485), hash(0.386)","27: verifi(0.488), function(0.485), hash(0.386)"
28,0.232869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137174,0,0,0,0.085162,0,0,0.113558,0,0.116434,0,0,0,0,0,0,0,0,0,0,0,0.085162,0,0,0.53788,0,0,0.137174,0,0,0,0,0.284863,0,0,0,0,0,0.0920497,0.163912,0,0,0,0,0,0,0,0,0,0,0.163912,0.149585,0.0920497,0.126227,0.0567792,0,0,0.134233,0,0.335584,0.37868,0,0.184099,0,0.116434,0.163912,0.0863071,0,0.0474772,0.116434,0,0,0,0.113558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"high(0.538), receiv(0.379), rate(0.336)","28: high(0.538), receiv(0.379), rate(0.336)"
29,0,0,0,0.103509,0,0.336098,0,0,0,0.109265,0,0,0,0,0.245827,0.157715,0.263976,0,0,0.287859,0,0,0,0,0,0.112033,0,0,0,0,0,0,0,0,0.103509,0,0,0.0819424,0,0,0,0,0.157715,0,0.103509,0,0,0.112033,0.0456823,0,0,0,0,0.143929,0.0885697,0,0,0.103509,0,0,0,0,0,0,0.121455,0,0,0,0.354279,0,0,0,0,0,0.0957278,0,0,0,0,0,0,0.157715,0,0,0.0913646,0,0,0,0.121455,0.382428,0,0,0.0700009,0,0.24291,0,0,0,0,0.31543,0,0,0,0,0,0,0,0,"state(0.382), proof(0.354), applic(0.336)","29: state(0.382), proof(0.354), applic(0.336)"
30,0,0,0,0,0,0.153066,0,0,0,0.0746427,0,0,0,0,0.0559776,0,0.180331,0,0,0,0.111955,0.10774,0.060505,0,0,0,0,0,0,0.180331,0,0,0.0901654,0,0,0.10774,0.0707106,0.559776,0,0,0,0,0,0,0.141421,0,0.196646,0,0,0,0.0829698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098323,0,0,0,0,0,0,0.653949,0.0882326,0,0,0,0.0901654,0.0765332,0,0.0850954,0.060505,0,0,0,0,0,0.0373214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"random(0.654), generat(0.560), integr(0.197)","30: random(0.654), generat(0.560), integr(0.197)"
31,0.0961621,0.164334,0,0.177692,0,0,0.135373,0,0,0,0,0,0,0,0.211003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113291,0.177692,0,0,0.0961621,0,0,0,0,0,0,0.152046,0.135373,0.270746,0,0,0,0,0,0,0,0,0,0,0,0.304092,0,0.28136,0.247081,0.177692,0,0.0821671,0,0.10425,0,0.076023,0,0,0,0.10692,0.152046,0,0,0,0,0,0.234467,0,0,0,0.12354,0,0,0,0,0,0.541492,0,0,0,0,0,0,0,0,"construct(0.541), proof(0.304), protocol(0.281)","31: construct(0.541), proof(0.304), protocol(0.281)"
32,0,0,0,0,0.12367,0,0,0,0,0.153569,0,0.147776,0,0.539436,0,0,0.24734,0,0.269718,0,0,0,0,0.153569,0,0,0,0,0,0,0,0,0.24734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171214,0,0.113801,0,0,0,0.165976,0,0,0.0969859,0,0,0.12367,0,0,0,0,0,0.295551,0,0,0,0.204759,0,0,0.242038,0,0.0605095,0.227601,0,0.0829881,0,0,0,0.155621,0.0829881,0,0,0,0,0,0,0.165976,0,0,0,0,0.134859,0,0.089695,0,0,0,0,0,0,0,0,0,0,"channel(0.539), prepar(0.296), continu(0.270)","32: channel(0.539), prepar(0.296), continu(0.270)"
33,0,0.0538906,0,0,0,0.0630695,0,0,0.0743035,0,0,0,0,0,0.04613,0,0.148607,0,0.243078,0,0,0.0887867,0.0498609,0.0922674,0.162052,0,0.0887867,0,0.081026,0,0.0887867,0,0,0,0,0,0,0.23065,0,0,0.116542,0,0,0,0.116542,0,0.40513,0,0.18002,0.162052,0.136748,0,0.081026,0,0.0498609,0,0,0,0.0887867,0,0,0.116542,0.161672,0.0887867,0,0,0.0887867,0.081026,0,0,0,0,0,0.327198,0,0.181777,0.273495,0.0538906,0,0.148607,0,0.0887867,0.0935006,0.0498609,0,0,0.0683738,0,0.0683738,0.0922674,0.398888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"integr(0.405), system(0.399), qkd(0.327)","33: integr(0.405), system(0.399), qkd(0.327)"
34,0.0842221,0,0,0,0,0.168444,0,0,0.198448,0,0,0,0,0,0,0,0,0,0,0,0.0616014,0,0.0665836,0,0,0.252666,0.237129,0,0,0,0,0,0,0,0,0.118564,0,0,0,0,0.389072,0,0,0,0,0,0.216402,0,0.0343423,0.108201,0.0913054,0,0.108201,0,0,0,0,0,0.237129,0,0,0,0.575718,0,0,0,0,0,0,0,0.0410708,0,0,0.194194,0,0.0970969,0,0,0.0665836,0,0,0.118564,0,0.133167,0.0343423,0.168444,0,0,0,0.205354,0.0665836,0,0.0526242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"photon(0.576), high(0.389), effici(0.253)","34: photon(0.576), high(0.389), effici(0.253)"
35,0,0,0,0,0.0726187,0.0616394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487304,0.0901753,0,0,0,0,0,0,0.780961,0,0,0.0616394,0,0,0.1139,0.0901681,0,0,0,0,0,0,0,0,0,0,0.0754021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194922,0,0.120234,0,0.1139,0.142124,0.105337,0.106593,0,0,0,0,0,0,0.114226,0,0,0,0.467764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"finit(0.781), size(0.468), proof(0.195)","35: finit(0.781), size(0.468), proof(0.195)"
