Cluster3Words,Aspect1Topic10Words,complex,applic,classic,develop,challeng,base,compar,channel,cryptographi,process,communic,system,comput,function,model,high,effici,design,integr,key,distribut,requir,protocol,secur,perform,experiment,measur,low,state,optic,qkd,field,photon,entangl,transmiss,rate
"T12: base, compar, challeng","base-0.172, compar-0.07, challeng-0.049, applic-0.047, complex-0.045, classic-0.039, develop-0.031",0.074394787,0.070603863,0.091725698,0.089881006,0.065343942,0.017485421,0.035170486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T13: base, classic, develop","base-0.325, classic-0.201, develop-0.129, applic-0.104, complex-0.093, compar-0.062, challeng-0.019",0.152475761,0.158238174,0.108527834,0.172654605,0.055340199,0.034433883,0.147836061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T14: base, classic, applic","base-0.207, classic-0.054, applic-0.042, develop-0.035, compar-0.029, challeng-0.025, complex-0.024, channel-0.017",0.070451955,0.055937622,0.026306529,0.0524171,0.059393861,0.02143749,0.047370579,0.057800693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T15: base, classic, applic","base-0.084, classic-0.072, applic-0.026, develop-0.021, complex-0.018, challeng-0.005",0.030189292,0.034741582,0.036159247,0.032375317,0.011098909,0.007854407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T16: develop, complex, classic","develop-0.013, complex-0.009, classic-0.006, applic-0.003",0.000950303,0.004015377,0.007868594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T17: base, classic, applic","base-0.047, classic-0.044, applic-0.03, develop-0.021, challeng-0.017",0,0.040444969,0.020588487,0.032111708,0.028303678,0.003703914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T18: base, develop, applic","base-0.04, develop-0.037, applic-0.011",0,0.014424188,0,0.016654527,0,0.002983437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T19: cryptographi, base, develop","cryptographi-9.06, base-1.783, develop-0.737, challeng-0.649, applic-0.6, classic-0.411, channel-0.332, compar-0.288, complex-0.274",0.96484996,0.983594385,0.976240644,0.986617141,0.98481979,0.994399758,0.966425028,0.970730526,0.998895898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T20: cryptographi, base, classic","cryptographi-0.054, base-0.022, classic-0.007, develop-0.004, applic-0.003",0,0.004696566,0.009642375,0.006709088,0,0.008611578,0,0,0.00445181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T21: cryptographi, base, develop","cryptographi-8.093, base-1.073, develop-0.571, applic-0.502, challeng-0.425, classic-0.319, channel-0.157, compar-0.137, complex-0.099",0.3468732,0.76191823,0.758404242,0.764196987,0.698006353,0.596827575,0.459989676,0.460234791,0.892116549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T22: cryptographi, classic, base","cryptographi-0.485, classic-0.109, base-0.091, channel-0.071, complex-0.028, develop-0.024, applic-0.017, compar-0.014",0.046506557,0.051089448,0.057167283,0.056669077,0,0.121865617,0.048502218,0.107603433,0.0520573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T23: cryptographi, channel, classic","cryptographi-0.141, channel-0.11, classic-0.109, base-0.108, compar-0.035, applic-0.029, develop-0.02, challeng-0.007",0,0.069614448,0.145920002,0.059059964,0.022834517,0.164148,0.056692003,0.057579064,0.014152026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T24: cryptographi, base, channel","cryptographi-0.551, base-0.192, channel-0.104, classic-0.098, complex-0.038, applic-0.029, challeng-0.018, compar-0.013, develop-0.008",0.061915106,0.068947118,0.149028112,0.02902008,0.05168062,0.103614256,0.042979498,0.138758004,0.059396035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T25: cryptographi, channel, base","cryptographi-0.194, channel-0.082, base-0.036, classic-0.032, applic-0.016, challeng-0.014, compar-0.008, develop-0.002",0,0.02705693,0.048950731,0.006217661,0.034325933,0.047590178,0.022551456,0.041867938,0.019950856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T26: applic, base, challeng","applic-0.03, base-0.024, challeng-0.015, develop-0.01",0,0.001798203,0,0.014555156,0.019714879,0.009673058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T27: cryptographi, base, classic","cryptographi-0.315, base-0.174, classic-0.044, applic-0.033, compar-0.031, develop-0.018, complex-0.014, channel-0.011",0.040539953,0.050042159,0.05902801,0.042119185,0,0.093297221,0.050260056,0.035879392,0.033366688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T28: cryptographi, base, channel","cryptographi-0.63, base-0.279, channel-0.273, classic-0.221, develop-0.063, applic-0.05, compar-0.013",0,0.11907037,0.336177821,0.1041739,0,0.152551417,0.036711196,0.365900365,0.068090817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T29: base, channel, develop","base-0.609, channel-0.496, develop-0.275, cryptographi-0.139, challeng-0.132, applic-0.131, classic-0.063, compar-0.038, complex-0.024",0.084546147,0.310539444,0.183004263,0.368250942,0.216734835,0.065807681,0.126962643,0.273852068,0.211043854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T30: develop, channel, applic","develop-0.036, channel-0.018, applic-0.01, base-0.008",0,0.013956404,0,0.002548128,0,0.012357513,0,0.006007506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T31: base, channel, develop","base-0.455, channel-0.328, develop-0.197, challeng-0.089, applic-0.052, cryptographi-0.038, classic-0.023, complex-0.011",0.038212549,0.085333278,0.06597254,0.263720942,0.134466486,0.048806729,0,0.179843187,0.090908002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T32: channel, cryptographi, base","channel-0.929, cryptographi-0.857, base-0.494, classic-0.153, applic-0.139, compar-0.116, develop-0.114, challeng-0.05, complex-0.02",0.069279294,0.228016706,0.233013997,0.332654512,0.166245056,0.661071855,0.276164871,0.101134552,0.476257625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T33: channel, cryptographi, base","channel-0.76, cryptographi-0.575, base-0.525, challeng-0.104, complex-0.103, develop-0.097, compar-0.095, applic-0.072, classic-0.049",0.168678317,0.241217797,0.173582661,0.231522916,0.15787334,0.702735384,0.278469589,0.082443388,0.318260824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T34: cryptographi, channel, base","cryptographi-0.783, channel-0.447, base-0.228, develop-0.083, challeng-0.068, classic-0.065, applic-0.053, compar-0.045, complex-0.035",0.122796413,0.154147122,0.154714854,0.126546326,0.111797403,0.305490419,0.150817664,0.246549651,0.084999263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T35: channel, applic","channel-0.233, applic-0.012",0,0.002829834,0,0,0,0,0,0.024257309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T36: channel, base, applic","channel-0.264, base-0.119, applic-0.05, complex-0.036, develop-0.032, classic-0.019, compar-0.011, challeng-0.006",0.053897818,0.06660206,0.045699979,0.052970343,0.020305946,0.062680213,0.030784167,0.027684532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T37: channel, base, classic","channel-0.079, base-0.007, classic-0.006",0,0,0.007985472,0,0,0,0,0.007304154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T38: base, channel, cryptographi","base-0.109, channel-0.09, cryptographi-0.058, classic-0.04, applic-0.032, develop-0.018, compar-0.016, challeng-0.01",0,0.051736146,0.060093632,0.042584795,0.032999826,0.010551866,0.04680529,0.046714751,0.077828028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T39: channel, cryptographi, base","channel-0.856, cryptographi-0.398, base-0.324, applic-0.086, compar-0.086, complex-0.081, develop-0.079, classic-0.05, challeng-0.008",0.192999807,0.131139192,0.16818181,0.230217825,0.02944485,0.434247231,0.141531882,0.093014245,0.218983095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
