NoDTest,Title,Authors,Main Topic,Key Points,Abstract,Publication Year,Topic 1,Topic 2,Topic 3,SubAspect,addit,bb84,applic,bps,character,assumpt,attack,base,communic,bound,channel,cryptographi,decoy,chip,circuit,design,detector,comput,discret,continu,cryptograph,decod,deleg,encrypt,determinist,devic,error,distanc,fast,distribut,effici,encod,finit,entangl,framework,experiment,game,fiat,general,hardwar,fulli,homomorph,function,independ,interact,integr,knowledg,long,lack,low,measur,loss,model,modul,multi,nanowir,optic,obfusc,perform,passiv,phase,pixel,photon,prepar,process,post,presenc,proof,qkd,protocol,pseudo,quantum,qubit,random,relat,requir,rate,round,setup,secur,shamir,share,speed,superconduct,state,system,singl,transform,theorem,ultra,transmiss,vbb,twin,variabl,verif,wotro,verifi,key,high,field,complex,classic,develop,challeng,compar,Magnitude
11,Fully chip-based decoder for polarization-encoding quantum key distribution,"Yongqiang Du, Xun Zhu, Xin Hua, Zhengeng Zhao, Xiao Hu, Yi Qian, Xi Xiao, Kejin Wei",Fully Chip-Based Polarization-Encoding QKD Decoder,"Fully chip-based decoder, polarization state analyzer, no additional hardware required, compact design, automatic polarization drift compensation, finite-key secret rate of 240 bps","Silicon-based polarization-encoding quantum key distribution (QKD) has been extensively studied due to its advantageous characteristics of its low cost and robustness. However, given the difficulty of fabricating polarized independent components on the chip, previous studies have only adopted off-chip devices to demodulate the quantum states or perform polarization compensation. In the current work, a fully chip-based decoder for polarization-encoding QKD was proposed. The chip realized a polarization state analyzer and compensated for the BB84 protocol without the requirement of additional hardware, which was based on a polarization-to-path conversion method utilizing a polarization splitter-rotator. The chip was fabricated adopting a standard silicon photonics foundry, which was of a compact design and suitable for mass production. In the experimental stability test, an average quantum bit error rate of 0.59% was achieved through continuous operation for 10 h without any polarization feedback. Furthermore, the chip enabled the automatic compensation of the fiber polarization drift when utilizing the developed feedback algorithm, which was emulated by a random fiber polarization scrambler. Moreover, a finite-key secret rate of 240 bps over a fiber spool of 100 km was achieved in the case of the QKD demonstration. This study marks an important step toward the integrated, practical, and large-scale deployment of QKD systems.",2024,0.838861465,0.081814528,0.079324014,1,0.170046112,0,0,0.170046112,0,0,0,0.34682519,0,0,0,0,0,0.437871117,0,0.170046112,0,0,0,0,0,0.510138335,0,0,0,0,0,0,0,0.046504486,0,0.291914078,0.170046112,0,0,0,0,0,0,0.170046112,0.38659671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046504486,0,0,0.003495771,0,0,0,0.145957039,0.080687425,0,0,0,0,0,0,0,0.087685028,0,0,0,0,0,0,0,0,0,0,0,0,0.093008973,0,0,0,0,0,0,0,1
12,Passive continuous variable quantum key distribution,"Chenyang Li, Chengqiu Hu, Wenyuan Wang, Rong Wang, Hoi-Kwong Lo",Passive Continuous Variable QKD,"Passive source for discrete-modulated continuous variable QKD, phase space remapping, no modulator required, simpler system, experimental characterization","Passive quantum key distribution (QKD) has been proposed for discrete variable (DV) protocols to eliminate side channels in the source. Unfortunately, the key rate of passive DV-QKD protocols suffers from sifting loss and additional quantum errors. In this work, we propose the general framework of passive continuous variable quantum key distribution. Rather surprisingly, we find that the passive source is a perfect candidate for the discrete-modulated continuous variable quantum key distribution (DMCV QKD) protocol. With the phase space remapping scheme, we show that passive DMCV QKD offers the same key rate as its active counterpart. Considering the important advantage of removing side channels that have plagued the active ones, passive DMCV QKD is a promising alternative. In addition, our protocol makes the system much simpler by allowing modulator-free quantum key distribution. Finally, we experimentally characterize the passive DMCV QKD source, thus showing its practicality.",2024,0.769519269,0.1404147,0.090066031,1,0,0,0,0,0.180002057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180002057,0.463507816,0,0,0,0,0,0,0,0,0,0.049227255,0,0,0,0,0,0.136410456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360004114,0,0,0,0,0,0.540006171,0.110911004,0,0,0,0,0,0,0,0.098454509,0,0,0.003700443,0,0,0,0.154502605,0,0,0,0,0,0,0,0,0,0.122377095,0,0,0,0,0,0,0,0.463507816,0,0,0,0.049227255,0,0,0,0,0,0,0,1
13,Fully-Passive Twin-Field Quantum Key Distribution,"Wenyuan Wang, Rong Wang, Hoi-Kwong Lo",Fully-Passive Twin-Field QKD,"Fully-passive setup, basis choice, decoy-state preparation, encoding by post-processing, removes side-channels, maintains high key rate, satisfactory performance","We propose a fully-passive twin-field quantum key distribution (QKD) setup where basis choice, decoy-state preparation and encoding are all implemented entirely by post-processing without any active modulation. Our protocol can remove the potential side-channels from both source modulators and detectors, and additionally retain the high key rate advantage offered by twin-field QKD, thus offering great implementation security and good performance. Importantly, we also propose a post-processing strategy that uses mismatched phase slices and minimizes the effect of sifting. We show with numerical simulation that the new protocol can still beat the repeaterless bound and provide satisfactory key rate.",2024,0.502747118,0.418872684,0.07838019,1,0,0,0,0,0,0,0,0,0,0,0.156781006,0,0.156781006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049953193,0,0.156781006,0,0,0,0,0,0,0,0,0.415266173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18265649,0.547969469,0,0,0,0.18265649,0.18265649,0.124181751,0,0,0.049953193,0,0,0.003755012,0,0,0,0,0.086671089,0,0.18265649,0,0,0,0,0,0.094187625,0,0,0,0,0,0,0,0.365312979,0,0,0,0,0.099906386,0.079947319,0.365312979,0,0,0,0,0,1
14,Quantum Advantage from One-Way Functions,"Tomoyuki Morimae, Takashi Yamakawa",Quantum Advantage from One-Way Functions,"Quantum advantage with one-way functions, IV-PoQ, interactive protocol, efficient verifier, auxiliary-input version, constant-round IV-PoQ","We demonstrate quantum advantage with several basic assumptions, specifically based on only the existence of OWFs. We introduce inefficient-verifier proofs of quantumness (IV-PoQ), and construct it from classical bit commitments. IV-PoQ is an interactive protocol between a verifier and a quantum prover consisting of two phases. In the first phase, the verifier is probabilistic polynomial-time, and it interacts with the prover. In the second phase, the verifier becomes inefficient, and makes its decision based on the transcript of the first phase. If the prover is honest, the inefficient verifier accepts with high probability, but any classical malicious prover only has a small probability of being accepted by the inefficient verifier. Our construction demonstrates the following results: (1)If one-way functions exist, then IV-PoQ exist. (2)If distributional collision-resistant hash functions exist (which exist if hard-on-average problems in SZK exist), then constant-round IV-PoQ exist. We also demonstrate quantum advantage based on worst-case-hard assumptions. We define auxiliary-input IV-PoQ (AI-IV-PoQ) that only require that for any malicious prover, there exist infinitely many auxiliary inputs under which the prover cannot cheat. We construct AI-IV-PoQ from an auxiliary-input version of commitments in a similar way, showing that (1)If auxiliary-input one-way functions exist (which exist if CZKÃ¢Å Ë†BPP), then AI-IV-PoQ exist. (2)If auxiliary-input collision-resistant hash functions exist (which is equivalent to PWPPÃ¢Å Ë†FBPP) or SZKÃ¢Å Ë†BPP, then constant-round AI-IV-PoQ exist.",2024,0.743439198,0.107983932,0.148576856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299325937,0,0,0,0,0,0,0,0,0,0,0,0.792825225,0,0.299325937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179822798,0,0.021507182,0,0,0,0,0,0.264275075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299325937,0,0,0,0,0,0,0,0,1
15,Simple Tests of Quantumness Also Certify Qubits,Zvika Brakerski (Weizmann Institute of Science); Alexandru Gheorghiu (Chalmers University of Technology); Gregory D. Kahanamoku-Meyer (Lawrence Berkeley National Laboratory & UC Berkeley); Eitan Porat (Weizmann Institute of Science); Thomas Vidick (Weizmann Institute of Science),Quantum Certifiability,Tests of quantumness certify qubits; protocols based on post-quantum functions.,"A test of quantumness is a protocol that allows a classical verifier to certify (only) that a prover is not classical. We show that tests of quantumness that follow a certain template, which captures recent proposals such as (Kalai et al., 2022), can in fact do much more. Namely, the same protocols can be used for certifying a qubit, a building-block that stands at the heart of applications such as certifiable randomness and classical delegation of quantum computation. Certifying qubits was previously only known to be possible based on the hardness of the Learning with Errors problem and the use of adaptive hardcore (Brakerski et al., 2018). Our framework allows certification of qubits based only on the existence of post-quantum trapdoor claw-free functions, or on quantum fully homomorphic encryption. These can be instantiated, for example, from Ring Learning with Errors. On the technical side, we show that the quantum soundness of any such protocol can be reduced to proving a bound on a simple algorithmic task: informally, answering 'two challenges simultaneously' in the protocol. Our reduction formalizes the intuition that these protocols demonstrate quantumness by leveraging the impossibility of rewinding a general quantum prover. This allows us to prove tight bounds on the quantum soundness of (Kahanamoku-Meyer et al., 2021) and (Kalai et al., 2022), showing that no quantum polynomial-time prover can succeed with probability larger than cos^2(Ãâ‚¬/8)Ã¢â€°Ë†0.853. Previously, only an upper bound on the success probability of classical provers, and a lower bound on the success probability of quantum provers, were known. We then extend this proof of quantum soundness to show that provers that approach the quantum soundness bound must perform almost anti-commuting measurements. This certifies that the prover holds a qubit.",2024,0.493774176,0.386480361,0.119745463,1,0,0,0,0,0,0,0,0.282997256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315449429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282997256,0,0,0,0.214643772,0,0.034229124,0.83251017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,Long Distance Quantum Key Distribution Overcomes the Rate-Loss Limit with Open Quantum Channel,"Lai Zhou (Beijing Academy of Quantum Information Sciences); Jinping Lin (Beijing Academy of Quantum Information Science); Yuan-Mei Xie (Nanjing University); Yu-Shuo Lu (Nanjing University); Yumang Jing (Beijing Academy of Quantum Information Science); Hua-Lei Yin (Nanjing University, Beijing Academy of Quantum Information Science); Zhiliang Yuan (Beijing Academy of Quantum Information Sciences)",Quantum Key Distribution,TF-QKD setup without global phase tracking; MDI-QKD with post-measurement pairing.,"Twin-field quantum key distribution (TF-QKD) can break the rate-loss limit but its implementation requires global phase tracking and usually also cumbersome interferometric implementations, which are often impractical for network deployment. We remove the above shortcomings with two different solutions. In the first solution, we introduce locally generated frequency combs to stabilise an open channel, and develop a simple and versatile TF-QKD setup that does not need service fibre. In the second, we implement a simple measurement device independent (MDI) QKD with post-measurement pairing technique. We demonstrate the capability of asynchronous MDI-QKD overcoming the linear rate-loss limit without global phase tracking.",2024,0.083256543,0.837481976,0.079261497,2,0,0,0,0,0,0,0,0,0,0,0.314643338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366572771,0,0.200501832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366572771,0,0,0.366572771,0.314643338,0,0,0,0,0,0,0,0,0.225869386,0,0,0,0,0.24921999,0,0,0.200501832,0,0,0.022607769,0,0,0,0,0.173939954,0,0.366572771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200501832,0,0,0,0,0,0,0,1
17,The Application of Hybrid Photonic Integration to Quantum Key Distribution,Joseph Dolphin (University of Cambridge); Taofiq K. Paraiso (Toshiba Europe Ltd); Han Du (Toshiba Europe Ltd); Andrew J Shields (Toshiba Europe Ltd),Photonic Integration for QKD,Hybrid integration for high-performance QKD chips; low error rate operation.,"Hybrid integration has the potential to overcome various limitations of integrated photonic material platforms. Here, we present the results of applying edge-couple hybrid integration to produce high performance quantum key distribution chips. We show low quantum bit error rate operation (< 1%) and positive secure key rates over 250 km of fibre spool.",2024,0.105665386,0.80869931,0.08563529,2,0,0,0.231027005,0,0,0,0,0,0,0,0,0,0,0.261668167,0,0,0,0,0,0,0,0,0,0,0,0,0.304854461,0,0,0.083372092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621779617,0,0,0,0.231027005,0,0,0,0,0,0,0,0,0.304854461,0,0,0,0.414519744,0,0,0,0,0,0.166744185,0,0,0.006267131,0,0,0,0,0.144654418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083372092,0.133432416,0,0,0,0,0,0,1
18,On Concurrent Multi-Party Quantum Computation,Vipul Goyal (NTT Research & Carnegie Mellon University); Xiao Liang (NTT Research); Giulio Malavolta (Max Planck Institute for Security and Privacy),Concurrent Multi-Party Computation,Study of concurrent secure computation; bounded-concurrent zero-knowledge arguments.,"Recently, significant progress has been made toward quantumly secure multi-party computation (MPC) in the stand-alone setting. In sharp contrast, the picture of concurrently secure MPC (or even 2PC), for both classical and quantum functionalities, still remains unclear. Quantum information behaves in a fundamentally different way, making the job of adversary harder and easier at the same time. Thus, it is unclear if the positive or negative results from the classical setting still apply. This work initiates a systematic study of concurrent secure computation in the quantum setting. We obtain a mix of positive and negative results. We first show that assuming the existence of post-quantum one-way functions (PQ-OWFs), concurrently secure 2PC (and thus MPC) for quantum functionalities is impossible. Next, we focus on the bounded-concurrent setting, where we obtain simulation-sound zero-knowledge arguments for both NP and QMA, assuming PQ-OWFs. This is obtained by a new design of simulation-sound gadget which is compatible with the quantum rewinding strategy recently developed by Ananth, Chung, and La Placa [CRYPTO'21] for bounded-concurrent post-quantum ZK. Moreover, we show that our technique is general enough---It also leads to quantum-secure bounded-concurrent coin-flipping protocols, and eventually general-purpose 2PC and MPC, for both classical and quantum functionalities. All these constructions can be based on the quantum hardness of Learning with Errors.",2024,0.118247062,0.743541956,0.138210982,2,0,0,0,0,0,0,0,0,0,0.256799245,0,0,0,0,0,0,0,0.770397735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256799245,0,0,0,0,0,0,0,0.51359849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005279223,0,0,0,0,0,0,0,0.103847708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Single-qubit loss-tolerant quantum position verification protocol secure against entangled attackers,"Llorenc Escola Farras (QuSoft); Florian Speelman (University of Amsterdam, QuSoft)",Quantum Position Verification,Characterization of loss-tolerance in QPV; fault-tolerant protocol against entangled attackers.,"We give a tight characterization of the relation between loss-tolerance and error rate of the most popular protocol for quantum position verification (QPV), which is based on BB84 states, and generalizations of this protocol. Combining it with classical information, we show for the first time a fault-tolerant protocol that is secure against attackers who pre-share a linear amount of entanglement (in the classical information), arbitrarily slow quantum information and that tolerates a certain amount of photon loss. We also extend this analysis to the case of more than two bases, showing even stronger loss-tolerance for that case. Finally, we show that our techniques can be applied to improve the analysis of one-sided device-independent QKD protocols.",2024,0.806535602,0.096159972,0.097304434,1,0,0,0,0,0.257310953,0,0.441719536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441719536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441719536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265367058,0,0.010579485,0.257310953,0,0,0,0,0,0,0.104054639,0,0,0,0,0,0,0.220859768,0,0,0,0,0,0,0,0.389994482,0,0,0,0,0,0,0,0,0,0,1
20,Fiat-Shamir for Proofs Lacks a Proof Even in the Presence of Shared Entanglement,FrÃƒÂ©dÃƒÂ©ric Dupuis (UniversitÃƒÂ© de MontrÃƒÂ©al); Philippe Lamontagne (National Research Council Canada); Louis Salvail (UniversitÃƒÂ© de MontrÃƒÂ©al),Quantum Cryptography,"Quantum Fiat-Shamir transform, WOTRO model, Cryptographic game assumptions","We explore the cryptographic power of arbitrary shared physical resources. The most general such resource is access to a fresh entangled quantum state at the outset of each protocol execution. We call this the Common Reference Quantum State (CRQS) model, in analogy to the well-known Common Reference String (CRS). The CRQS model is a natural generalization of the CRS model but appears to be more powerful: in the two-party setting, a CRQS can sometimes exhibit properties associated with a Random Oracle queried once by measuring a maximally entangled state in one of many mutually unbiased bases. We formalize this notion as a Weak One-Time Random Oracle (WOTRO), where we only ask of the mÃ¢â‚¬â€œbit output to have some randomness when conditioned on the nÃ¢â‚¬â€œbit input. We show that when n Ã¢Ë†â€™ m Ã¢Ë†Ë† Ãâ€°(lg n), any protocol for WOTRO in the CRQS model can be attacked by an (inefficient) adversary. Moreover, our adversary is efficiently simulatable, which rules out the possibility of proving the computational security of a scheme by a fully black-box reduction to a cryptographic game assumption. On the other hand, we introduce a non-game quantum assumption for hash functions that implies WOTRO in the CRQ$ model (where the CRQS consists only of EPR pairs). We first build a statistically secure WOTRO protocol where m = n, then hash the output. The impossibility of WOTRO has the following consequences. First, we show the fully-black-box impossibility of a quantum Fiat-Shamir transform, extending the impossibility result of Bitansky et al. (TCC Ã¢â‚¬â„¢13) to the CRQS model. Second, we show a fully-black-box impossibility result for a strenghtened version of quantum lightning (Zhandry, Eurocrypt Ã¢â‚¬â„¢19) where quantum bolts have an additional parameter that cannot be changed without generating new bolts. Our results also apply to 2Ã¢â‚¬â€œmessage protocols in the plain model.",2024,0.846165717,0.076463617,0.077370651,1,0,0,0,0,0,0.161791672,0,0,0,0,0,0.180344825,0,0,0,0,0,0,0,0,0.146632643,0,0,0,0,0,0,0,0,0,0,0,0,0.204263999,0,0,0.237976182,0.475952363,0,0,0,0,0,0,0,0,0,0,0.237976182,0,0,0,0.237976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204263999,0.208320632,0,0,0,0.009784525,0,0,0,0,0,0,0,0,0.475952363,0.237976182,0,0,0,0,0,0.237976182,0,0,0,0,0,0,0,0.237976182,0,0,0,0,0,0,0,0,0,1
21,Obfuscation of Pseudo-Deterministic Quantum Circuits,James Bartusek (UC Berkeley); Fuyuki Kitagawa (NTT Social Informatics Laboratories); Ryo Nishimaki (NTT Social Informatics Laboratories); Takashi Yamakawa (NTT Social Informatics Laboratories),Quantum Circuit Obfuscation,"Obfuscation of pseudo-deterministic circuits, VBB obfuscation, Quantum fully-homomorphic encryption","We show how to obfuscate pseudo-deterministic quantum circuits, assuming the quantum hardness of learning with errors (QLWE) and post-quantum virtual black-box (VBB) obfuscation for classical circuits. Given the classical description of a quantum circuit $Q$, our obfuscator outputs a quantum state $\ket{\widetilde{Q}}$ that can be used to evaluate $Q$ repeatedly on arbitrary inputs. Instantiating the VBB obfuscator for classical circuits with any candidate post-quantum indistinguishability obfuscator gives us the first candidate construction of indistinguishability obfuscation for all polynomial-size pseudo-deterministic quantum circuits. In particular, our scheme is the first candidate obfuscator for a class of circuits that is powerful enough to implement Shor's algorithm (SICOMP 1997). Our approach follows Bartusek and Malavolta (ITCS 2022), who obfuscate \emph{null} quantum circuits by obfuscating the verifier of an appropriate classical verification of quantum computation (CVQC) scheme. We go beyond null circuits by constructing a publicly-verifiable CVQC scheme for quantum \emph{partitioning} circuits, which can be used to verify the evaluation procedure of Mahadev's quantum fully-homomorphic encryption scheme (FOCS 2018). We achieve this by upgrading the one-time secure scheme of Bartusek (TCC 2021) to a fully reusable scheme, via a publicly-decodable \emph{Pauli functional commitment}, which we formally define and construct in this work. This commitment scheme, which satisfies a notion of binding against committers that can access the receiver's standard and Hadamard basis decoding functionalities, is constructed by building on techniques of Amos, Georgiou, Kiayias, and Zhandry (STOC 2020) introduced in the context of equivocal but collision-resistant hash functions.",2024,0.098800831,0.09773986,0.803459287,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496033091,0,0,0,0,0,0,0,0,0.165344364,0.330688727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125302457,0.165344364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661377454,0,0,0,0,0,0,0,0,0,0,0,0,0.330688727,0.01019734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165344364,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,Quantum delegation with an off-the-shelf device,Anne Broadbent (University of Ottawa); Arthur Mehta (University of Ottawa); Yuming Zhao (University of Waterloo),Quantum Delegation and Verification,"One-round quantum delegation, OTS devices, Interactive proof system for QMA","Given that reliable cloud quantum computers are becoming closer to reality, the concept of delegation of quantum computations and its verifiability is of central interest. Many models have been proposed, each with specific strengths and weaknesses. Here, we put forth a new model where the client trusts only its classical processing, makes no computational assumptions, and interacts with a quantum server in a \emph{single} round. In addition, during a set-up phase, the client specifies the size $n$ of the computation and receives an untrusted, \emph{off-the-shelf (OTS)} quantum device that is used to report the outcome of a single constant-sized measurement from a predetermined logarithmic-sized input. In the OTS model, we thus picture that a single quantum server does the bulk of the computations, while the OTS device is used as an untrusted and generic verification device, all in a single round. We show how to delegate polynomial-time quantum computations in the OTS model. Scaling up the technique also yields an interactive proof system for all of QMA, which, furthermore, we show can be accomplished in statistical zero-knowledge. This yields the first relativistic (one-round), two-prover zero-knowledge proof system for QMA. As a proof approach, we provide a new self-test for $n$-EPR pairs using only constant-sized Pauli measurements, and show how it provides a new avenue for the use of simulatable codes for local Hamiltonian verification. Along the way, we also provide an enhanced version of a well-known stability result due to Gowers and Hatami and show how it completes a common argument used in self-testing.",2024,0.108255357,0.108113609,0.783631027,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806400596,0,0,0.407408208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230721424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117651747,0,0,0,0.016577807,0,0,0,0,0,0.203704104,0,0,0,0,0,0,0,0.182747842,0,0,0,0,0,0,0,0,0.203704104,0,0,0,0,0,0,0,0,0,0,1
23,Publicly-Verifiable Deletion via Target-Collapsing Functions,James Bartusek (UC Berkeley); Dakshita Khurana (UIUC); Alexander Poremba (Caltech),Publicly-Verifiable Deletion,"Target-collapsing hashes, Publicly-verifiable deletion, Cryptographic assumptions","We build quantum cryptosystems that support publicly-verifiable deletion from standard cryptographic assumptions. We introduce target-collapsing as a weakening of collapsing for hash functions, analogous to how second preimage resistance weakens collision resistance; that is, target-collapsing requires indistinguishability between superpositions and mixtures of preimages of an honestly sampled image. We show that target-collapsing hashes enable publicly-verifiable deletion ($\PVD$), proving conjectures from [Poremba, ITCS'23] and demonstrating that the Dual-Regev encryption (and corresponding fully homomorphic encryption) schemes support $\PVD$ under the LWE assumption. We further build on this framework to obtain a variety of primitives supporting publicly-verifiable deletion from weak cryptographic assumptions, including: - Commitments with $\PVD$ assuming the existence of injective one-way functions, or more generally, {\em almost-regular} one-way functions. Along the way, we demonstrate that (variants of) target-collapsing hashes can be built from almost-regular one-way functions. - Public-key encryption with $\PVD$ assuming trapdoored variants of injective (or almost-regular) one-way functions. We also demonstrate that the encryption scheme of [Hhan, Morimae, and Yamakawa, Eurocrypt'23] based on pseudorandom group actions has $\PVD$. - $X$ with $\PVD$ for $X \in \{$attribute-based encryption, quantum fully-homomorphic encryption, witness encryption, time-revocable encryption$\}$, assuming $X$ and trapdoored variants of injective (or almost-regular) one-way functions.",2024,0.741632998,0.127747029,0.130619988,1,0,0,0,0,0,0.239667443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217211863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267150852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907749385,0,0,0,0,0,0,0,0,1
24,Fiat-Shamir for Proofs Lacks a Proof Even in the Presence of Shared Entanglement,FrÃƒÂ©dÃƒÂ©ric Dupuis (UniversitÃƒÂ© de MontrÃƒÂ©al); Philippe Lamontagne (National Research Council Canada); Louis Salvail (UniversitÃƒÂ© de MontrÃƒÂ©al),Quantum Cryptography,"Quantum Fiat-Shamir transform, WOTRO model, Cryptographic game assumptions","We explore the cryptographic power of arbitrary shared physical resources. The most general such resource is access to a fresh entangled quantum state at the outset of each protocol execution. We call this the Common Reference Quantum State (CRQS) model, in analogy to the well-known Common Reference String (CRS). The CRQS model is a natural generalization of the CRS model but appears to be more powerful: in the two-party setting, a CRQS can sometimes exhibit properties associated with a Random Oracle queried once by measuring a maximally entangled state in one of many mutually unbiased bases. We formalize this notion as a Weak One-Time Random Oracle (WOTRO), where we only ask of the mÃ¢â‚¬â€œbit output to have some randomness when conditioned on the nÃ¢â‚¬â€œbit input. We show that when n Ã¢Ë†â€™ m Ã¢Ë†Ë† Ãâ€°(lg n), any protocol for WOTRO in the CRQS model can be attacked by an (inefficient) adversary. Moreover, our adversary is efficiently simulatable, which rules out the possibility of proving the computational security of a scheme by a fully black-box reduction to a cryptographic game assumption. On the other hand, we introduce a non-game quantum assumption for hash functions that implies WOTRO in the CRQ$ model (where the CRQS consists only of EPR pairs). We first build a statistically secure WOTRO protocol where m = n, then hash the output. The impossibility of WOTRO has the following consequences. First, we show the fully-black-box impossibility of a quantum Fiat-Shamir transform, extending the impossibility result of Bitansky et al. (TCC Ã¢â‚¬â„¢13) to the CRQS model. Second, we show a fully-black-box impossibility result for a strenghtened version of quantum lightning (Zhandry, Eurocrypt Ã¢â‚¬â„¢19) where quantum bolts have an additional parameter that cannot be changed without generating new bolts. Our results also apply to 2Ã¢â‚¬â€œmessage protocols in the plain model.",2024,0.846166313,0.076464057,0.077369608,1,0,0,0,0,0,0.161791672,0,0,0,0,0,0.180344825,0,0,0,0,0,0,0,0,0.146632643,0,0,0,0,0,0,0,0,0,0,0,0,0.204263999,0,0,0.237976182,0.475952363,0,0,0,0,0,0,0,0,0,0,0.237976182,0,0,0,0.237976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204263999,0.208320632,0,0,0,0.009784525,0,0,0,0,0,0,0,0,0.475952363,0.237976182,0,0,0,0,0,0.237976182,0,0,0,0,0,0,0,0.237976182,0,0,0,0,0,0,0,0,0,1
