NoDTest,Title,Authors,Main Topic,Key Points,Publication Year,Topic 1,Topic 2,Topic 3,SubAspect,addit,bb84,applic,bps,character,assumpt,attack,base,communic,bound,channel,cryptographi,decoy,chip,circuit,design,detector,comput,discret,continu,cryptograph,decod,deleg,encrypt,determinist,devic,error,distanc,fast,distribut,effici,encod,finit,entangl,framework,experiment,game,fiat,general,hardwar,fulli,homomorph,function,independ,interact,integr,knowledg,long,lack,low,measur,loss,model,modul,multi,nanowir,optic,obfusc,perform,passiv,phase,pixel,photon,prepar,process,post,presenc,proof,qkd,protocol,pseudo,quantum,qubit,random,relat,requir,rate,round,setup,secur,shamir,share,speed,superconduct,state,system,singl,transform,theorem,ultra,transmiss,vbb,twin,variabl,verif,wotro,verifi,key,high,field
11,Fully chip-based decoder for polarization-encoding quantum key distribution,"Yongqiang Du, Xun Zhu, Xin Hua, Zhengeng Zhao, Xiao Hu, Yi Qian, Xi Xiao, Kejin Wei",Fully Chip-Based Polarization-Encoding QKD Decoder,"Fully chip-based decoder, polarization state analyzer, no additional hardware required, compact design, automatic polarization drift compensation, finite-key secret rate of 240 bps",2024,0.838861465,0.081814528,0.079324014,1,0.170046112,0,0,0.170046112,0,0,0,0.34682519,0,0,0,0,0,0.437871117,0,0.170046112,0,0,0,0,0,0.510138335,0,0,0,0,0,0,0,0.046504486,0,0.291914078,0.170046112,0,0,0,0,0,0,0.170046112,0.38659671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046504486,0,0,0.003495771,0,0,0,0.145957039,0.080687425,0,0,0,0,0,0,0,0.087685028,0,0,0,0,0,0,0,0,0,0,0,0,0.093008973,0,0
12,Passive continuous variable quantum key distribution,"Chenyang Li, Chengqiu Hu, Wenyuan Wang, Rong Wang, Hoi-Kwong Lo",Passive Continuous Variable QKD,"Passive source for discrete-modulated continuous variable QKD, phase space remapping, no modulator required, simpler system, experimental characterization",2024,0.769519269,0.1404147,0.090066031,1,0,0,0,0,0.180002057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180002057,0.463507816,0,0,0,0,0,0,0,0,0,0.049227255,0,0,0,0,0,0.136410456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360004114,0,0,0,0,0,0.540006171,0.110911004,0,0,0,0,0,0,0,0.098454509,0,0,0.003700443,0,0,0,0.154502605,0,0,0,0,0,0,0,0,0,0.122377095,0,0,0,0,0,0,0,0.463507816,0,0,0,0.049227255,0,0
13,Fully-Passive Twin-Field Quantum Key Distribution,"Wenyuan Wang, Rong Wang, Hoi-Kwong Lo",Fully-Passive Twin-Field QKD,"Fully-passive setup, basis choice, decoy-state preparation, encoding by post-processing, removes side-channels, maintains high key rate, satisfactory performance",2024,0.502747118,0.418872684,0.07838019,1,0,0,0,0,0,0,0,0,0,0,0.156781006,0,0.156781006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049953193,0,0.156781006,0,0,0,0,0,0,0,0,0.415266173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18265649,0.547969469,0,0,0,0.18265649,0.18265649,0.124181751,0,0,0.049953193,0,0,0.003755012,0,0,0,0,0.086671089,0,0.18265649,0,0,0,0,0,0.094187625,0,0,0,0,0,0,0,0.365312979,0,0,0,0,0.099906386,0.079947319,0.365312979
14,Quantum Advantage from One-Way Functions,"Tomoyuki Morimae, Takashi Yamakawa",Quantum Advantage from One-Way Functions,"Quantum advantage with one-way functions, IV-PoQ, interactive protocol, efficient verifier, auxiliary-input version, constant-round IV-PoQ",2024,0.743439198,0.107983932,0.148576856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299325937,0,0,0,0,0,0,0,0,0,0,0,0.792825225,0,0.299325937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179822798,0,0.021507182,0,0,0,0,0,0.264275075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299325937,0,0,0
15,Simple Tests of Quantumness Also Certify Qubits,Zvika Brakerski (Weizmann Institute of Science); Alexandru Gheorghiu (Chalmers University of Technology); Gregory D. Kahanamoku-Meyer (Lawrence Berkeley National Laboratory & UC Berkeley); Eitan Porat (Weizmann Institute of Science); Thomas Vidick (Weizmann Institute of Science),Quantum Certifiability,Tests of quantumness certify qubits; protocols based on post-quantum functions.,2024,0.493774176,0.386480361,0.119745463,1,0,0,0,0,0,0,0,0.282997256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315449429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282997256,0,0,0,0.214643772,0,0.034229124,0.83251017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Long Distance Quantum Key Distribution Overcomes the Rate-Loss Limit with Open Quantum Channel,"Lai Zhou (Beijing Academy of Quantum Information Sciences); Jinping Lin (Beijing Academy of Quantum Information Science); Yuan-Mei Xie (Nanjing University); Yu-Shuo Lu (Nanjing University); Yumang Jing (Beijing Academy of Quantum Information Science); Hua-Lei Yin (Nanjing University, Beijing Academy of Quantum Information Science); Zhiliang Yuan (Beijing Academy of Quantum Information Sciences)",Quantum Key Distribution,TF-QKD setup without global phase tracking; MDI-QKD with post-measurement pairing.,2024,0.083256543,0.837481976,0.079261497,2,0,0,0,0,0,0,0,0,0,0,0.314643338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366572771,0,0.200501832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366572771,0,0,0.366572771,0.314643338,0,0,0,0,0,0,0,0,0.225869386,0,0,0,0,0.24921999,0,0,0.200501832,0,0,0.022607769,0,0,0,0,0.173939954,0,0.366572771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200501832,0,0
17,The Application of Hybrid Photonic Integration to Quantum Key Distribution,Joseph Dolphin (University of Cambridge); Taofiq K. Paraiso (Toshiba Europe Ltd); Han Du (Toshiba Europe Ltd); Andrew J Shields (Toshiba Europe Ltd),Photonic Integration for QKD,Hybrid integration for high-performance QKD chips; low error rate operation.,2024,0.105665386,0.80869931,0.08563529,2,0,0,0.231027005,0,0,0,0,0,0,0,0,0,0,0.261668167,0,0,0,0,0,0,0,0,0,0,0,0,0.304854461,0,0,0.083372092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621779617,0,0,0,0.231027005,0,0,0,0,0,0,0,0,0.304854461,0,0,0,0.414519744,0,0,0,0,0,0.166744185,0,0,0.006267131,0,0,0,0,0.144654418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083372092,0.133432416,0
18,On Concurrent Multi-Party Quantum Computation,Vipul Goyal (NTT Research & Carnegie Mellon University); Xiao Liang (NTT Research); Giulio Malavolta (Max Planck Institute for Security and Privacy),Concurrent Multi-Party Computation,Study of concurrent secure computation; bounded-concurrent zero-knowledge arguments.,2024,0.118247062,0.743541956,0.138210982,2,0,0,0,0,0,0,0,0,0,0.256799245,0,0,0,0,0,0,0,0.770397735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256799245,0,0,0,0,0,0,0,0.51359849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005279223,0,0,0,0,0,0,0,0.103847708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Single-qubit loss-tolerant quantum position verification protocol secure against entangled attackers,"Llorenc Escola Farras (QuSoft); Florian Speelman (University of Amsterdam, QuSoft)",Quantum Position Verification,Characterization of loss-tolerance in QPV; fault-tolerant protocol against entangled attackers.,2024,0.806535602,0.096159972,0.097304434,1,0,0,0,0,0.257310953,0,0.441719536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441719536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441719536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265367058,0,0.010579485,0.257310953,0,0,0,0,0,0,0.104054639,0,0,0,0,0,0,0.220859768,0,0,0,0,0,0,0,0.389994482,0,0,0,0,0
20,Fiat-Shamir for Proofs Lacks a Proof Even in the Presence of Shared Entanglement,FrÃƒÂ©dÃƒÂ©ric Dupuis (UniversitÃƒÂ© de MontrÃƒÂ©al); Philippe Lamontagne (National Research Council Canada); Louis Salvail (UniversitÃƒÂ© de MontrÃƒÂ©al),Quantum Cryptography,"Quantum Fiat-Shamir transform, WOTRO model, Cryptographic game assumptions",2024,0.846165717,0.076463617,0.077370651,1,0,0,0,0,0,0.161791672,0,0,0,0,0,0.180344825,0,0,0,0,0,0,0,0,0.146632643,0,0,0,0,0,0,0,0,0,0,0,0,0.204263999,0,0,0.237976182,0.475952363,0,0,0,0,0,0,0,0,0,0,0.237976182,0,0,0,0.237976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204263999,0.208320632,0,0,0,0.009784525,0,0,0,0,0,0,0,0,0.475952363,0.237976182,0,0,0,0,0,0.237976182,0,0,0,0,0,0,0,0.237976182,0,0,0,0
21,Obfuscation of Pseudo-Deterministic Quantum Circuits,James Bartusek (UC Berkeley); Fuyuki Kitagawa (NTT Social Informatics Laboratories); Ryo Nishimaki (NTT Social Informatics Laboratories); Takashi Yamakawa (NTT Social Informatics Laboratories),Quantum Circuit Obfuscation,"Obfuscation of pseudo-deterministic circuits, VBB obfuscation, Quantum fully-homomorphic encryption",2024,0.098800831,0.09773986,0.803459287,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496033091,0,0,0,0,0,0,0,0,0.165344364,0.330688727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125302457,0.165344364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661377454,0,0,0,0,0,0,0,0,0,0,0,0,0.330688727,0.01019734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165344364,0,0,0,0,0,0,0,0
22,Quantum delegation with an off-the-shelf device,Anne Broadbent (University of Ottawa); Arthur Mehta (University of Ottawa); Yuming Zhao (University of Waterloo),Quantum Delegation and Verification,"One-round quantum delegation, OTS devices, Interactive proof system for QMA",2024,0.108255357,0.108113609,0.783631027,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806400596,0,0,0.407408208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230721424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117651747,0,0,0,0.016577807,0,0,0,0,0,0.203704104,0,0,0,0,0,0,0,0.182747842,0,0,0,0,0,0,0,0,0.203704104,0,0,0,0,0
23,Publicly-Verifiable Deletion via Target-Collapsing Functions,James Bartusek (UC Berkeley); Dakshita Khurana (UIUC); Alexander Poremba (Caltech),Publicly-Verifiable Deletion,"Target-collapsing hashes, Publicly-verifiable deletion, Cryptographic assumptions",2024,0.741632998,0.127747029,0.130619988,1,0,0,0,0,0,0.239667443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217211863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267150852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907749385,0,0,0
24,Fiat-Shamir for Proofs Lacks a Proof Even in the Presence of Shared Entanglement,FrÃƒÂ©dÃƒÂ©ric Dupuis (UniversitÃƒÂ© de MontrÃƒÂ©al); Philippe Lamontagne (National Research Council Canada); Louis Salvail (UniversitÃƒÂ© de MontrÃƒÂ©al),Quantum Cryptography,"Quantum Fiat-Shamir transform, WOTRO model, Cryptographic game assumptions",2024,0.846166313,0.076464057,0.077369608,1,0,0,0,0,0,0.161791672,0,0,0,0,0,0.180344825,0,0,0,0,0,0,0,0,0.146632643,0,0,0,0,0,0,0,0,0,0,0,0,0.204263999,0,0,0.237976182,0.475952363,0,0,0,0,0,0,0,0,0,0,0.237976182,0,0,0,0.237976182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204263999,0.208320632,0,0,0,0.009784525,0,0,0,0,0,0,0,0,0.475952363,0.237976182,0,0,0,0,0,0.237976182,0,0,0,0,0,0,0,0.237976182,0,0,0,0
25,Obfuscation of Pseudo-Deterministic Quantum Circuits,James Bartusek (UC Berkeley); Fuyuki Kitagawa (NTT Social Informatics Laboratories); Ryo Nishimaki (NTT Social Informatics Laboratories); Takashi Yamakawa (NTT Social Informatics Laboratories),Quantum Circuit Obfuscation,"Obfuscation of pseudo-deterministic circuits, VBB obfuscation, Quantum fully-homomorphic encryption",2024,0.098801553,0.097739913,0.803458512,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496033091,0,0,0,0,0,0,0,0,0.165344364,0.330688727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125302457,0.165344364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661377454,0,0,0,0,0,0,0,0,0,0,0,0,0.330688727,0.01019734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165344364,0,0,0,0,0,0,0,0
26,Quantum delegation with an off-the-shelf device,Anne Broadbent (University of Ottawa); Arthur Mehta (University of Ottawa); Yuming Zhao (University of Waterloo),Quantum Delegation and Verification,"One-round quantum delegation, OTS devices, Interactive proof system for QMA",2024,0.108250961,0.108112559,0.78363651,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806400596,0,0,0.407408208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230721424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117651747,0,0,0,0.016577807,0,0,0,0,0,0.203704104,0,0,0,0,0,0,0,0.182747842,0,0,0,0,0,0,0,0,0.203704104,0,0,0,0,0
27,Publicly-Verifiable Deletion via Target-Collapsing Functions,James Bartusek (UC Berkeley); Dakshita Khurana (UIUC); Alexander Poremba (Caltech),Publicly-Verifiable Deletion,"Target-collapsing hashes, Publicly-verifiable deletion, Cryptographic assumptions",2024,0.741632998,0.127747014,0.130619988,1,0,0,0,0,0,0.239667443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217211863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267150852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907749385,0,0,0
28,High-Rate Point-to-Multipoint QKD Network,"Yiming Bian, Yan Pan, Yichen Zhang, Heng Wang, Jie Yang, Jiayi Dou, Yang Li, Wei Huang, Song Yu, Bingjie Xu, Hong Guo",Quantum Key Distribution Network,"High-rate QKD network, Point-to-multipoint communication, Quantum cryptography",2024,0.108198017,0.793195248,0.098606765,2,0,0,0,0,0,0,0,0,0.419338602,0,0,0.419338602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151329221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302658442,0,0,0.022751021,0,0,0,0,0.525126328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151329221,0.484388073,0
29,Pseudorandomness with Proof of Destruction and Applications,"Amit Behera, Zvika Brakerski, Or Sattath, Omri Shmueli",Quantum Pseudorandomness and Proof of Destruction,"Quantum pseudorandom states, Proofs of destruction, Cryptographic applications",2024,0.749359727,0.124203272,0.126436979,1,0,0,0.701464276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285169149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607708653,0,0,0,0.019028809,0,0,0,0,0,0,0,0,0,0,0,0,0.238651468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,100 Gbit/s Integrated Quantum Random Number Generator Based on Vacuum Fluctuations,"Cedric Bruynsteen, Tobias Gehring, Cosmo Lupo, Johan Bauwelinck, Xin Yin",Quantum Random Number Generation,"100 Gbit/s rate, Vacuum fluctuations, Quantum randomness, Secure random number generation",2024,0.145431593,0.719949901,0.134618506,2,0,0,0,0,0,0,0,0.163375643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163375643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014820475,0,0.961224049,0,0,0.114025972,0,0,0.097177967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Oblivious Transfer from Zero-Knowledge Proofs, Or How to Achieve Round-Optimal Quantum Oblivious Transfer and Zero-Knowledge Proofs on Quantum States","LÃƒÂ©o Colisson, Garazi Muguruza, Florian Speelman",Quantum Oblivious Transfer and Zero-Knowledge Proofs,"Round-optimal quantum oblivious transfer, Zero-Knowledge proofs, Quantum state verification",2024,0.124582186,0.121322677,0.754095137,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833860724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364974325,0,0,0,0.021427908,0,0,0,0,0,0.315961172,0,0,0,0,0,0,0.214991982,0,0,0,0,0,0,0,0,0,0.157980586,0,0,0,0,0
