Cluster3Words,Aspect10Topic10Words,complex,applic,classic,develop,challeng,base,compar,channel,cryptographi,process,communic,system,comput,function,model,high,effici,design,integr,key,distribut,requir,protocol,secur,perform,experiment,measur,low,state,optic,qkd,field,photon,entangl,transmiss,rate,Magnitude,EntropyScore
"T19: secur, key, protocol",,0,0.936540534,0,0,0,0.872191873,0,0,0.940812437,0,0.937581513,0,0,0.944864668,0,0,0.918690769,0.937724255,0,0.962648403,0,0,0.868364155,0.979607589,0,0,0,0,0,0,0,0,0,0,0,0,2.942529864,0.966149988
"T20: protocol, qkd, function",,0,0,0,0,0,0.013573235,0,0,0,0,0.007529785,0,0,0.025703655,0,0.012584469,0,0,0,0,0.00752809,0.008550176,0.012266803,0.012756283,0,0,0,0,0,0,0.02161292,0,0.015014377,0,0,0,0.046856182,0.83300762
"T21: secur, cryptographi, protocol",,0,0.619586526,0,0,0,0.574035583,0,0,0.526957182,0,0.539960062,0,0.441627193,0,0,0,0,0.389341389,0,0.532895404,0.474461837,0,0.588138344,0.480468524,0,0,0,0,0,0,0,0,0,0,0,0,1.647760483,4.857982989
"T22: key, secur, distribut",,0,0,0,0,0,0.07214249,0,0,0,0,0,0,0,0,0,0.106766538,0,0,0,0.085355895,0.116101953,0,0.112738966,0.12307423,0,0,0,0,0,0.106240582,0.113443896,0,0,0,0.086116078,0.082097576,0.32177451,3.309511378
"T23: key, qkd, secur",,0,0,0,0,0,0,0,0,0,0,0.095405481,0,0,0,0,0.088322557,0,0,0,0.130416902,0.124563225,0,0.087715012,0.171915377,0,0,0,0,0,0.134885301,0.147118687,0,0,0,0.1318296,0.090648253,0.390013548,3.630848959
"T24: key, secur, qkd",,0,0,0,0,0,0.116509164,0,0,0,0,0,0,0,0,0,0.106482302,0,0,0,0.145095528,0.159970527,0,0.106463175,0.169538205,0,0,0,0.120014922,0,0,0.186771247,0,0,0,0.095296101,0.126579387,0.431305607,3.8304426
"T25: high, key, channel",,0,0.025339957,0,0,0,0.021987904,0,0.027273708,0.027668428,0,0,0,0,0,0,0.00693715,0,0,0,0.026289008,0.03264036,0,0,0.029596953,0,0,0,0,0.03058076,0,0,0,0,0,0.031695445,0,0.085178467,1.351276068
"T26: protocol, transmiss, high",,0,0.037866536,0,0,0,0.015003212,0,0,0,0.007970901,0.036046809,0.016547555,0,0,0,0.0317544,0,0,0,0,0,0,0.010845946,0.03731831,0,0,0,0,0.031182132,0,0,0,0,0,0.037479271,0,0.090506099,1.335468602
"T27: key, secur, transmiss",,0,0,0,0,0,0.08239906,0,0,0,0,0,0,0,0,0,0.061815477,0,0,0,0.054111124,0.065758775,0,0.085630671,0.105473372,0,0,0,0.072873019,0,0.086515551,0.079733491,0,0,0,0.096098554,0,0.254377695,2.873277484
"T28: key, secur, optic",,0,0,0,0,0,0.169921435,0,0.188106206,0,0,0,0,0,0,0,0.174871824,0,0,0,0.15750902,0.268183893,0,0.277074053,0.217017384,0,0,0,0,0,0.243661865,0.169315573,0,0,0,0.240529117,0,0.679211885,4.673029703
"T29: optic, high, communic",,0,0.20416681,0,0,0,0.296264826,0,0.248401751,0,0,0.317402588,0,0,0.209065715,0,0.329998517,0.260235501,0,0,0,0,0,0,0,0,0,0,0,0.208653083,0.297876167,0,0,0.269287351,0,0,0,0.846768429,5.019718173
"T30: optic, photon, function",,0,0.011912348,0,0,0,0,0,0.009358411,0,0,0,0,0,0.012691283,0.008964875,0.01271996,0.011883412,0,0.008999346,0.010115213,0,0,0,0,0,0,0,0,0,0.013098198,0,0,0.017619588,0,0,0,0.037937486,0.7490078
"T31: optic, high, function",,0,0,0,0,0,0.262579757,0,0.173302103,0,0,0.253064745,0,0,0.265128935,0,0.252923273,0.144337839,0,0.197664938,0.179589258,0,0,0,0,0,0,0,0,0,0.257239067,0,0,0.299497259,0,0,0,0.738454287,4.790931829
"T32: qkd, key, protocol",,0,0,0,0,0,0,0,0.498977167,0,0,0,0,0,0,0,0,0,0,0,0.818481045,0.718898278,0,0.955525418,0.820325396,0,0,0,0,0,0.601907705,0.519632484,0,0.949623643,0.734051563,0,0.577934258,2.329936119,3.163364089
"T33: qkd, key, distribut",,0,0,0,0,0,0,0,0.522857938,0,0,0,0,0,0,0,0,0,0,0,0.525692537,0.563738851,0,0.522496607,0.540860638,0,0,0,0,0.410743342,0.42425031,0.409311589,0,0.570875517,0.415520296,0,0,1.564563154,4.97959781
"T34: qkd, key, protocol",,0,0,0,0,0,0,0,0.307701657,0,0,0,0,0,0,0,0.245687924,0,0,0,0.415967838,0.370942628,0,0.396823795,0.384884034,0,0,0,0,0,0.364544844,0.231669767,0,0.360021559,0.301375096,0,0,1.085486841,5.208794092
"T35: channel, entangl, applic",,0,0.009694444,0,0,0,0,0,0.02835553,0,0,0.000988741,0,0,0,0,0,0,0,0,0,0,0,0.00996652,0,0,0,0,0,0,0,0,0,0,0.045619042,0,0,0.055492562,0.489927674
"T36: entangl, qkd, photon",,0,0,0,0,0,0,0,0.139437639,0,0,0,0,0,0,0,0,0,0,0,0.127240104,0.143311824,0,0.191286796,0.115444948,0,0,0,0,0.174730257,0.1444303,0.221685027,0,0.188772167,0.127510176,0,0,0.508446805,4.150163635
"T37: channel, qkd, photon",,0,0,0,0,0,0,0,0.001860809,0,0,0,0,0,0,0.007128768,0,0.007663572,0,0,0.011133237,0.009044662,0,0.009658855,0,0,0.007759188,0,0,0.009920885,0,0.013631519,0,0.015195057,0,0,0,0.031422884,0.616552026
"T38: entangl, photon, qkd",,0,0,0,0,0,0.066191484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160597234,0.14053973,0,0.106640706,0,0,0,0,0,0.124457053,0.079845961,0.185010662,0,0.187713592,0.177725154,0,0.062330672,0.433702727,3.686472294
"T39: qkd, protocol, photon",,0,0,0,0,0,0,0,0.459485167,0,0,0,0,0,0,0,0,0,0,0,0.572900449,0.549280284,0,0.560998022,0.480600461,0,0,0,0,0.503773298,0.47411735,0.333329339,0,0.62818151,0.660101402,0,0,1.675343271,4.780585021
